,Close,MA10,EMA12,EMA26,MACD,UB,LB,ATR,RSI,pivot,s1,r1,s2,r2,s3,r3,CCI,mom,^IXIC,usd_interest,usd_inflation,gbp_interest,gbp_inflation
2019-02-22,1.3041380643844604,1.2932549118995669,1.297123599262733,1.2950111222556715,0.0021124770070615,1.3219614479164743,1.2775421169181205,0.011013422693525,59.41362607404514,1.3031394879023237,1.298217376073202,1.3090601762135825,1.2922966877619428,1.313982288042704,1.2873745759328212,1.3199029763539631,0.1952680744472452,0.0135823488235473,7527.5400390625,2.4,1.07527,0.75,1.8
2019-02-25,1.306557536125183,1.2945428848266602,1.2985749741646484,1.2958664121719317,0.0027085619927167,1.3192161293037576,1.2788584856979208,0.0103493928909302,62.84003641316091,1.30728280544281,1.3049794435501096,1.3088608980178833,1.3034013509750364,1.3111642599105835,1.301097989082336,1.312742352485657,4.092313495077292,0.0141503810882566,7554.4599609375,2.4,1.07527,0.75,1.8
2019-02-26,1.31271493434906,1.2971738576889038,1.300750352654558,1.297114450851719,0.0036359018028391,1.318513476448354,1.2792311672398478,0.0111604162624904,76.82511206401968,1.3176906903584795,1.3073602120081582,1.3230454126993816,1.3020054896672564,1.333375891049703,1.2916750113169349,1.338730613390605,0.6775852383947745,0.0065839290618896,7549.2998046875,2.4,1.07527,0.75,1.8
2019-02-27,1.3258028030395508,1.3008333325386048,1.3046045757907108,1.2992395139767434,0.0053650618139673,1.3225072990347375,1.2770131815980443,0.011754504271916,80.84292342594858,1.32804540793101,1.3212090333302815,1.3326391776402793,1.3166152636210122,1.3394755522410078,1.3097788890202835,1.344069321950277,3.2889463480712595,0.0212904214859008,7554.509765625,2.4,1.07527,0.75,1.8
2019-02-28,1.3318239450454712,1.3054479718208314,1.3087921710606738,1.30165317553739,0.0071389955232838,1.3272139974468933,1.2743172458773866,0.0118298189980643,87.32619537086651,1.3301400740941365,1.3281901280085249,1.333773891131083,1.324556310971578,1.3357238372166949,1.3226063648859665,1.3393576542536414,2.8254734234205268,0.0276858806610107,7532.52978515625,2.4,1.07527,0.75,1.8
2019-03-01,1.3264886140823364,1.310113215446472,1.3115147007563142,1.3034928376518304,0.0080218631044837,1.3300818243019628,1.2730040392882775,0.0119326370103019,88.04698452450631,1.3255342245101929,1.3224296569824217,1.3295931816101074,1.318370699882507,1.3326977491378786,1.315266132354736,1.3367567062377932,1.479929740305606,0.0199310779571533,7595.35009765625,2.4,1.07527,0.75,1.8
2019-03-04,1.32397723197937,1.3134553670883178,1.3134320132521689,1.3050102001946111,0.0084218130575577,1.3325141038650987,1.272195831323195,0.011885906968798,81.46986588601848,1.3221207062403362,1.3187549908955891,1.3273429473241172,1.3135327498118083,1.330708662668864,1.3101670344670615,1.335930903752645,-6.433394261328176,0.0112622976303098,7577.56982421875,2.4,1.07527,0.75,1.8
2019-03-05,1.3178529739379885,1.315999948978424,1.3141121610499873,1.3059615167681946,0.0081506442817926,1.3340397889186786,1.27214531354409,0.0122013177190508,72.17553009131821,1.3158435424168904,1.3119558493296304,1.321740667025248,1.3060587247212727,1.325628360112508,1.3021710316340127,1.3315254847208655,-8.261834468665862,-0.0079498291015622,7576.35986328125,2.4,1.07527,0.75,1.8
2019-03-06,1.3156682252883911,1.316953670978546,1.3143515555482033,1.306680532214135,0.0076710233340682,1.335321278122603,1.2728583626473555,0.011733523436955,60.4039657934708,1.3151172399520874,1.3131452798843384,1.31764018535614,1.310622334480286,1.319612145423889,1.3086503744125368,1.3221350908279417,-11.38218560248285,-0.01615571975708,7505.919921875,2.4,1.07527,0.75,1.8
2019-03-07,1.3182177543640137,1.3183242082595823,1.3149463553660203,1.3075351412622742,0.0074112141037461,1.3367467159273931,1.2739103442189386,0.011911187853132,64.65331113926439,1.315297285715739,1.3118552764256797,1.3216597636540732,1.3054927984873457,1.3251017729441326,1.302050789197286,1.3314642508824668,-11.806026802585013,-0.0082708597183227,7421.4599609375,2.4,1.07527,0.75,1.8
2019-03-08,1.3092432022094729,1.3188347220420835,1.31406894718809,1.3076616642954,0.0064072828926899,1.3371148886742212,1.2749747452674292,0.01217782497406,54.61038108177379,1.3068803946177163,1.3029558261235556,1.313167770703634,1.2966684500376382,1.317092339197795,1.2927438815434773,1.3233797152837123,-10.08764017213806,-0.014734029769897,7408.14013671875,2.4,1.07527,0.75,1.8
2019-03-11,1.2988362312316897,1.3180625915527344,1.3117254524255668,1.3070079285129028,0.004717523912664,1.337024236718764,1.2755812396606303,0.0120722992079598,43.90614268644936,1.3016068538029988,1.2934559981028235,1.3069870869318645,1.2880757649739585,1.315137942632039,1.2799249092737832,1.3205181757609048,-7.980300428623146,-0.0190167427062988,7558.06005859375,2.4,1.07527,0.75,1.8
2019-03-12,1.3248542547225952,1.3192765235900878,1.313745268163571,1.3083298786025097,0.0054153895610613,1.3385130386126247,1.2779373426663672,0.0127595237323216,57.29405427706981,1.3168373902638753,1.3090837399164834,1.3326079050699868,1.2933132251103718,1.340361555417379,1.28555957476298,1.3561320702234902,-6.096701313986267,0.0091860294342041,7591.02978515625,2.4,1.00202,0.75,1.8
2019-03-13,1.3066771030426023,1.3173639535903932,1.3126578581449606,1.3082074507832573,0.0044504073617033,1.338055660094677,1.2801416260343208,0.0136095796312604,39.17042417042402,1.3120660384496052,1.3010832468668618,1.3176598946253455,1.2954893906911211,1.3286426862080891,1.284506599108378,1.3342365423838296,-3.32111229120449,-0.0115406513214113,7643.41015625,2.4,1.00202,0.75,1.8
2019-03-14,1.3285682201385498,1.3170383810997008,1.3151056061439743,1.3097156559206864,0.0053899502232879,1.3392336012634345,1.2832527516570975,0.0147264088903154,48.43734801749007,1.3276108105977376,1.3220661083857217,1.3341129223505654,1.3155639966328938,1.3396576245625813,1.310019294420878,1.3461597363154092,-1.7208106096125355,0.0193250179290769,7630.91015625,2.4,1.00202,0.75,1.8
2019-03-15,1.3258554935455322,1.3169750690460205,1.3167594349749832,1.3109111994484528,0.0058482355265303,1.3380075835394845,1.2890807009530083,0.014971945966993,49.68827293462478,1.3253969351450603,1.321183403333028,1.3300690253575644,1.316511313120524,1.3342825571695969,1.3122977813084915,1.3389546473821008,-2.306438481222379,0.0270192623138425,7688.52978515625,2.4,1.00202,0.75,1.8
2019-03-18,1.329716444015503,1.3175489902496338,1.318752820981217,1.3123041805274935,0.0064486404537233,1.338439540789397,1.2925648165485546,0.0146364314215524,52.78873200276196,1.3242926994959514,1.318621357282003,1.3353877862294516,1.307526270548503,1.3410591284434,1.3018549283345542,1.3521542151769004,-2.278769841079335,0.0048621892929077,7714.47998046875,2.4,1.00202,0.75,1.8
2019-03-19,1.326435923576355,1.3184072852134705,1.3199348367650845,1.3133509763088909,0.0065838604561934,1.3378630157047875,1.2965442184871072,0.0135239107268197,54.28906048016687,1.3271926641464231,1.3235185146331787,1.3301100730895996,1.3206011056900024,1.3337842226028442,1.3169269561767578,1.3367016315460205,-1.0879250393671696,0.0197588205337526,7723.9501953125,2.4,1.00202,0.75,1.8
2019-03-20,1.3271400928497314,1.3195544719696044,1.3210433377011837,1.314372392348953,0.0066709453522306,1.3386780656027677,1.297830077345383,0.0139298524175371,55.81881044317843,1.3230324983596802,1.319101095199585,1.3310714960098269,1.3110620975494385,1.335002899169922,1.3071306943893433,1.3430418968200684,-1.5622574344125963,-0.0014281272888183,7728.97021484375,2.41,1.00202,0.75,1.8
2019-03-21,1.320533037185669,1.31978600025177,1.320964829929566,1.314828736410932,0.006136093518634,1.338440065161674,1.2996701433496782,0.0146437627928597,51.12794006620594,1.3167519966761272,1.310577710469564,1.3267073233922324,1.3006223837534587,1.3328816095987956,1.2944480975468955,1.3428369363149009,-0.5505747495265095,-0.0053224563598632,7838.9599609375,2.41,1.00202,0.75,1.8
2019-03-22,1.313232183456421,1.3201848983764648,1.3197751920106209,1.3147104732291164,0.0050647187815042,1.3378182353468344,1.3012013850717143,0.0149448343685695,51.97553459045224,1.3146150906880696,1.3070210615793862,1.320826212565104,1.3008099397023518,1.3284202416737874,1.2932159105936685,1.3346313635508218,-3.164964137786336,-0.016484260559082,7642.669921875,2.41,1.00202,0.75,1.8
2019-03-25,1.3206549882888794,1.3223667740821838,1.3199105452841988,1.3151508076779876,0.0047597376062111,1.3374792231018136,1.3029501425331045,0.0147527285984584,61.13481701033109,1.320506731669108,1.3164399464925132,1.3247217734654746,1.3122249046961467,1.3287885586420696,1.3081581195195515,1.333003600438436,-4.299001133589668,-0.0057809352874755,7637.5400390625,2.4,1.00202,0.75,1.8
2019-03-26,1.3215277194976809,1.3220341205596924,1.3201593413170425,1.3156231715164834,0.0045361698005588,1.3375600099795018,1.3037506341702787,0.0150679690497262,47.71623539348205,1.3213882048924763,1.316621939341227,1.3262939850489297,1.3117161591847737,1.331060250600179,1.3069498936335244,1.3359660307566323,-2.4663332528291995,-0.0056123733520505,7691.52001953125,2.4,1.00202,0.75,1.8
2019-03-27,1.321143627166748,1.323480772972107,1.3203107699093048,1.316032094157244,0.0042786757520609,1.3371559206975006,1.3036888058649994,0.0149258119719369,63.14253905268543,1.3208489020665486,1.3170891205469766,1.32490340868632,1.313034613927205,1.328663190205892,1.309274832407633,1.3327176968256635,-2.162905678427584,0.0006105899810791,7643.3798828125,2.41,1.00202,0.75,1.8
2019-03-28,1.3152703046798706,1.322150981426239,1.319535313720161,1.315975665307068,0.003559648413093,1.3355742947468812,1.3036150677790588,0.0146318759237017,32.9597912726808,1.3142873446146648,1.3086169560750327,1.3209406932195027,1.3019636074701948,1.3266110817591348,1.2962932189305627,1.333264430363973,-2.4124845497297507,0.0020381212234497,7669.169921875,2.41,1.00202,0.75,1.8
2019-03-29,1.30565345287323,1.3201307773590087,1.3173996428206332,1.3152110569786355,0.0021885858419974,1.335336559129206,1.3017692872758233,0.0148958308356149,28.00461019694596,1.3055109580357869,1.2981863419214883,1.3129780689875283,1.2907192309697468,1.320302685101827,1.2833946148554485,1.3277697960535684,-1.4813981317489933,-0.0150015354156494,7729.31982421875,2.43,1.00202,0.75,1.8
2019-04-01,1.3022867441177368,1.3173878073692322,1.3150745814817262,1.3142537004704211,0.000820881011305,1.3355306954460375,1.2994061021728285,0.0140300989151001,19.81043698683007,1.3060747782389324,1.2973634799321496,1.31099804242452,1.292440215746562,1.3197093407313027,1.2837289174397792,1.3246326049168904,0.9103671010502796,-0.019240975379944,7828.91015625,2.41,1.00202,0.75,1.8
2019-04-02,1.3068991899490356,1.3154341340065003,1.3138168289382353,1.3137089219132814,0.0001079070249538,1.335588058914207,1.2982533603057635,0.0131963917187282,29.1100290623568,1.3056542078653972,1.3029216130574546,1.3096317847569785,1.2989440361658733,1.3123643795649211,1.2962114413579306,1.3163419564565024,1.876365170308576,-0.0142444372177124,7848.68994140625,2.41,1.00202,0.75,1.8
2019-04-03,1.312766671180725,1.3139967918395996,1.3136552662063106,1.3136391255627218,1.6140643588791193e-05,1.3355288690157707,1.2980223947934333,0.0122129491397312,36.15926607021109,1.314921259880066,1.3102331161499023,1.317454814910889,1.3076995611190796,1.3221429586410522,1.303011417388916,1.324676513671875,1.8676969271815984,-0.0025036334991455,7895.5498046875,2.41,1.00202,0.75,1.8
2019-04-04,1.3176966905593872,1.3137131571769711,1.3142770237990915,1.3139396859328452,0.0003373378662463,1.3354958265729626,1.298003330855779,0.0124525087220328,47.1776135514407,1.3145439227422078,1.3100005785624185,1.3222400347391765,1.30230446656545,1.3267833789189656,1.2977611223856609,1.334479490915934,0.7282715346282616,0.0120432376861572,7891.77978515625,2.41,1.00202,0.75,1.8
2019-04-05,1.3077024221420288,1.3131601810455322,1.313265546621082,1.3134776663927847,-0.0002121197717028,1.3355607997536545,1.2977842796683428,0.0124778066362653,44.77740323666575,1.3067394892374675,1.3015390237172446,1.312902887662252,1.2953756252924602,1.3181033531824748,1.2901751597722373,1.3242667516072593,-0.5834712891961364,0.0054156780242919,7938.68994140625,2.41,1.00202,0.75,1.8
2019-04-08,1.3038150072097778,1.311476182937622,1.3118116174808812,1.31276191386071,-0.0009502963798289,1.33493073388873,1.298912223131076,0.0123052937643868,32.95732575366412,1.304843544960022,1.3024975061416628,1.3061610460281372,1.3011800050735476,1.3085070848464964,1.2988339662551884,1.3098245859146116,0.0544288655819093,-0.0030841827392578,7953.8798828125,2.41,1.00202,0.75,1.8
2019-04-09,1.306335687637329,1.3099569797515869,1.3109691667357193,1.3122858971034226,-0.0013167303677033,1.33419078516106,1.2978003151502195,0.0120400871549333,35.121396515249714,1.307135780652364,1.3026069800059,1.310864488283793,1.2988782723744712,1.3153932889302569,1.2943494717280073,1.3191219965616858,3.731090769220188,-0.0064309835433959,7909.27978515625,2.41,1.00202,0.75,1.8
2019-04-10,1.305721640586853,1.308414781093597,1.310161855020509,1.311799655879973,-0.0016378008594639,1.334250726787012,1.2976448272786925,0.0109766125679015,34.96391171445508,1.30701744556427,1.3036421537399292,1.3090969324111938,1.3015626668930054,1.312472224235535,1.2981873750686646,1.3145517110824585,1.6161088579161196,-0.0119750499725341,7964.240234375,2.41,1.44217,0.75,1.8
2019-04-11,1.3099292516708374,1.3078806757926942,1.3101260698897903,1.3116611074200368,-0.0015350375302465,1.3324925310694948,1.2975391261494384,0.0103646772248404,44.617776090643936,1.309109052022298,1.307258407274882,1.3117798964182534,1.3045875628789263,1.3136305411656697,1.3027369181315105,1.316301385561625,1.08320188699682,0.0022268295288085,7947.35986328125,2.41,1.44217,0.75,1.8
2019-04-12,1.3056023120880127,1.3078755617141724,1.3094301071510552,1.3112123077658129,-0.0017822006147576,1.331179795340763,1.2968265437324182,0.0101176500320434,49.94231498438874,1.3079232772191365,1.3028213183085122,1.3107042709986367,1.300040324529012,1.315806229909261,1.2949383656183877,1.3185872236887612,-0.2254642704788331,0.0017873048782348,7984.16015625,2.41,1.44217,0.75,1.8
2019-04-15,1.3083868026733398,1.3084855675697329,1.309269598769868,1.3110030110922963,-0.0017334123224281,1.3285862185099246,1.29728715642904,0.009883165359497,56.97222880780896,1.3094799915949504,1.306968410809835,1.3108983834584558,1.3055500189463296,1.3134099642435713,1.303038438161214,1.3148283561070766,1.7311240523800926,0.0020511150360107,7976.009765625,2.41,1.44217,0.75,1.8
2019-04-16,1.3102725744247437,1.3088229060173036,1.3094239027167722,1.3109489046724776,-0.0015250019557053,1.3264563918819292,1.297800648141875,0.0097487057958329,54.11200557993549,1.3084097305933635,1.3063752253850305,1.3123070796330771,1.3024778763453166,1.3143415848414104,1.3004433711369834,1.318238933881124,-1.2307324479247772,0.0045509338378906,8000.22998046875,2.41,1.44217,0.75,1.8
2019-04-17,1.3046314716339111,1.308009386062622,1.3086866056271014,1.3104809466696208,-0.0017943410425194,1.323822844243982,1.2981833336582396,0.0092898947851998,40.0285220826965,1.3048714796702068,1.3029462893803916,1.3065566619237263,1.3012611071268718,1.3084818522135415,1.2993359168370566,1.3101670344670615,2.604089661411693,-0.0052977800369262,7996.080078125,2.42,1.44217,0.75,1.8
2019-04-18,1.3039339780807495,1.3066331148147583,1.307955432158432,1.309995986033408,-0.0020405538749761,1.322536239629269,1.2978100323624606,0.0084508402006966,31.17781705066419,1.3029810587565105,1.3007176717122395,1.3061973651250205,1.2975013653437295,1.3084607521692913,1.295237978299459,1.3116770585378013,-0.1599738994522773,-0.0016683340072631,7998.06005859375,2.43,1.44217,0.75,1.8
2019-04-23,1.2981449365615845,1.3045443177223206,1.3043917704485448,1.3077196310526864,-0.0033278606041415,1.3192455021463687,1.2952557953275388,0.0072586280958992,34.21607589993339,1.2976555426915486,1.2934312025705972,1.3023692766825357,1.28871746857961,1.306593616803487,1.2844931284586587,1.311307350794474,-1.9617983513167208,-0.0064865350723266,8120.81982421875,2.44,1.44217,0.75,1.8
2019-04-24,1.2938116788864136,1.3033533215522766,1.3027640640543707,1.3066894123737034,-0.0039253483193326,1.3174339677559133,1.2943341348899609,0.0068466918809073,29.926382537552144,1.293942888577779,1.2915413777033484,1.2962131897608438,1.2892710765202835,1.2986147006352744,1.286869565645853,1.300885001818339,-12.88645729447548,-0.0101222991943359,8102.009765625,2.44,1.44217,0.75,1.8
2019-04-25,1.2904890775680542,1.3014093041419983,1.3008756045949372,1.305489387573285,-0.0046137829783476,1.3172261012028124,1.29206387873188,0.0061315383229936,16.22706374518495,1.289621631304423,1.2875706752141318,1.2925400336583457,1.2846522728602092,1.294590989748637,1.282601316769918,1.2975093921025596,-15.371897882108462,-0.0089547634124755,8118.68017578125,2.44,1.44217,0.75,1.8
2019-04-26,1.289607048034668,1.2998097777366635,1.299141980508742,1.3043129179778317,-0.0051709374690895,1.3180893613402014,1.289595978110635,0.0062264374324253,18.433459431991423,1.2909212509791057,1.2875116666158042,1.2930166323979695,1.2854162851969402,1.2964262167612712,1.2820067008336389,1.2985215981801352,-11.088620169332726,-0.009769320487976,8146.39990234375,2.44,1.44217,0.75,1.8
2019-04-29,1.2920230627059937,1.2981734037399293,1.2980467623852423,1.3034025583280655,-0.0053557959428234,1.3185203007615631,1.2881386705480988,0.005997964314052,17.22967327314136,1.2924259901046753,1.290186047554016,1.2942630052566528,1.2883490324020386,1.296502947807312,1.2861090898513794,1.2983399629592896,-8.260097866156926,-0.0061218738555908,8161.85009765625,2.45,1.44217,0.75,1.8
2019-04-30,1.2932428121566772,1.2964704275131225,1.297307693119309,1.3026499845375925,-0.0053422914182834,1.3183798864840304,1.2869134470463957,0.0065077202660696,14.96119771993682,1.2968828678131104,1.289151310920715,1.3009743690490725,1.2850598096847534,1.3087059259414673,1.2773282527923584,1.3127974271774292,-6.567682355013948,-0.0005688667297363,8095.39013671875,2.45,1.44217,0.75,1.8
2019-05-01,1.3039849996566772,1.2964057803153992,1.298334971048135,1.3027488745464135,-0.0044139034982788,1.317225524885131,1.28718964149289,0.0072764583996364,48.90064667842446,1.3055847485860188,1.3019262949625647,1.3076434532801309,1.2998675902684529,1.311301906903585,1.2962091366449986,1.313360611597697,-1.01771992863017,0.013495922088623,8049.64013671875,2.45,1.44217,0.75,1.8
2019-05-02,1.3053126335144043,1.2965436458587647,1.299408457581407,1.302938782618117,-0.0035303250367095,1.314833986302839,1.2883427743706837,0.0071500539779663,52.29527132429118,1.3050732612609863,1.3021363019943235,1.308249592781067,1.2989599704742432,1.3111865520477295,1.2960230112075806,1.31436288356781,-5.231996069428597,0.0157055854797363,8036.77001953125,2.41,1.44217,0.75,1.8
2019-05-03,1.3033220767974854,1.29693146944046,1.300010552845419,1.3029671747795513,-0.0029566219341319,1.3143311180891484,1.28840760804992,0.0080179486955915,57.04290297580132,1.3067252238591511,1.295753757158915,1.3142935434977212,1.288185437520345,1.3252650101979573,1.277213970820109,1.3328333298365274,-4.921950815407756,0.0112990140914917,8164.0,2.4,1.44217,0.75,1.8
2019-05-07,1.3099292516708374,1.2996785283088683,1.3034959500821417,1.3043124772734134,-0.0008165271912718,1.316744857420587,1.2874779886106025,0.0087009327752249,63.668366443962654,1.309030532836914,1.3051048517227173,1.3138549327850342,1.3002804517745972,1.317780613899231,1.2963547706604004,1.322605013847351,-3.236278698896466,0.0059442520141601,7963.759765625,2.4,1.44217,0.75,1.8
2019-05-08,1.3068820238113403,1.3009855628013611,1.304016884502018,1.3045028140540005,-0.0004859295519823,1.316872183048284,1.2874667013053536,0.0090825983456203,65.62617578984575,1.3047346274058025,1.30125363667806,1.310363014539083,1.2956252495447795,1.3138440052668254,1.292144258817037,1.319472392400106,-3.978886435699587,0.001569390296936,7943.31982421875,2.39,1.44217,0.75,1.8
