,Close,MA10,EMA12,EMA26,MACD,UB,LB,ATR,RSI,pivot,s1,r1,s2,r2,s3,r3,CCI,mom,^SSMI,usd_interest,usd_inflation,chf_interest,chf_inflation
2019-02-22,0.999140739440918,0.9966134548187257,0.9983317414605608,1.0016213348566607,-0.0032895933961,1.0101366178263418,0.9901856346856364,0.0046597037996564,53.52188457033823,0.999345620473226,0.997589985529582,1.0008963743845622,0.9960392316182456,1.002652009328206,0.9942835966746018,1.0042027632395425,0.1952680744472452,0.0036206245422363,9348.9296875,2.4,1.07527,-0.75,0.7
2019-02-25,1.000300049781799,0.9965724110603332,0.9986345581253666,1.0015234618881526,-0.0028889037627859,1.0091265742987643,0.9904598588734614,0.0043815118925912,48.97282751378202,1.0003845691680908,0.9990562200546264,1.0016283988952637,0.9978123903274536,1.002956748008728,0.9964840412139891,1.0042005777359009,4.092313495077292,0.0047501325607298,9398.3701171875,2.4,1.07527,-0.75,0.7
2019-02-26,0.9999099969863892,0.9969519019126892,0.9988307794886008,1.0014039459695034,-0.0025731664809025,1.0077609322615606,0.9909693874768276,0.0042954087257385,62.02926261534676,0.99960458278656,0.9985086917877196,1.0010058879852295,0.9971073865890504,1.0021017789840698,0.99601149559021,1.0035030841827393,0.6775852383947745,0.0011883378028869,9461.2099609375,2.4,1.07527,-0.75,0.7
2019-02-27,1.000290036201477,0.997588187456131,0.9990552805213512,1.0013214341348349,-0.0022661536134838,1.0070010906468023,0.9912051850547206,0.0044248529842922,72.78015594924774,1.0010621349016826,0.9982089598973592,1.0031432112058003,0.9961278835932412,1.005996386210124,0.993274708588918,1.0080774625142417,3.2889463480712595,0.000290036201477,9412.1904296875,2.4,1.07527,-0.75,0.7
2019-02-28,0.9995002746582032,0.9984007120132448,0.99912374115779,1.0011865334328622,-0.0020627922750723,1.0058388461827428,0.9916632006407587,0.0047906679766519,83.29092161239613,1.0020253856976826,0.9965956608454384,1.004929999510447,0.993691047032674,1.0103597243626912,0.98826132218043,1.0132643381754556,2.8254734234205268,0.0003595352172852,9388.9404296875,2.4,1.07527,-0.75,0.7
2019-03-01,1.0027475357055664,0.9991680324077606,0.999681248011294,1.0013021632308403,-0.0016209152195463,1.0050009835033775,0.9921418261260624,0.0046685550894056,82.64817022140141,1.001883904139201,1.0000742276509604,1.0045572121938071,0.9974009195963544,1.0063668886820474,0.995591243108114,1.0090401967366536,1.479929740305606,0.0024474859237673,9412.01953125,2.4,1.07527,-0.75,0.7
2019-03-04,1.001702904701233,0.9997863113880158,0.9999922721174384,1.0013318477842026,-0.0013395756667642,1.0044116782683157,0.992446364210246,0.0043060907295771,75.0311290431573,1.0004664063453674,0.9993301630020142,1.0028391480445862,0.9969574213027956,1.0039753913879397,0.9958211779594422,1.006348133087158,-6.433394261328176,0.0017929077148437,9394.0498046875,2.4,1.07527,-0.75,0.7
2019-03-05,1.0014019012451172,1.0003715097904204,1.0002091381370812,1.0013370369294556,-0.0011278987923744,1.0042748304381994,0.9925029126629208,0.0044731710638318,73.18277985568169,0.9993418653806052,0.9973820845286052,1.0033616820971172,0.9933622678120932,1.0053214629491172,0.9914024869600933,1.0093412796656291,-8.261834468665862,0.0011118650436401,9399.150390625,2.4,1.07527,-0.75,0.7
2019-03-06,0.9956192374229432,1.0000612676143643,0.9995029995656756,1.0009134962252697,-0.001410496659594,1.004094090302376,0.9922165729208904,0.0046614365918295,39.81632205857018,0.9956599076588948,0.9944300452868146,0.9968490997950238,0.9932408531506856,0.998078962167104,0.9920109907786052,0.999268154303233,-11.38218560248285,-0.00388103723526,9403.16015625,2.4,1.07527,-0.75,0.7
2019-03-07,0.995916783809662,0.9996529459953308,0.9989512740647504,1.0005433693796688,-0.0015920953149184,1.0040783232674293,0.9920335763469048,0.0048760388578687,35.67446392946874,0.9939409097035726,0.9913695851961772,0.9984881083170573,0.9868223865826926,1.0010594328244526,0.9842510620752972,1.0056066314379373,-11.806026802585013,-0.0068307518959044,9324.580078125,2.4,1.07527,-0.75,0.7
