,Close,MA10,EMA12,EMA26,MACD,UB,LB,ATR,RSI,pivot,s1,r1,s2,r2,s3,r3,CCI,mom,^IXIC,usd_interest,usd_inflation,cad_interest,cad_inflation
2019-02-22,0.7561208009719849,0.755087947845459,0.7559930359481857,0.7549232022279284,0.0010698337202572,0.7642153119206414,0.7491431856989874,0.0047045562948499,61.06796195630027,0.7567975521087646,0.7545760273933411,0.7583423256874084,0.7530312538146973,0.760563850402832,0.7508097290992737,0.7621086239814758,0.1952680744472452,0.0007767081260681,7527.5400390625,2.4,1.07527,1.75,2.0
2019-02-25,0.7615566253662109,0.7559083640575409,0.756848972781728,0.7554145669048382,0.0014344058768898,0.7647805064112271,0.7490964145272648,0.0049502253532409,66.2214239752229,0.7608768343925476,0.7591749429702759,0.7632585167884827,0.7567932605743408,0.7649604082107544,0.7550913691520691,0.7673420906066895,4.092313495077292,0.0059272050857543,7554.4599609375,2.4,1.07527,1.75,2.0
2019-02-26,0.7584261298179626,0.7565630078315735,0.757091612325764,0.7556376456391437,0.0014539666866203,0.7649062776345692,0.7494001841764966,0.0050041079521179,62.147431289056016,0.7576840321222941,0.7563086946805317,0.7598014672597249,0.754191259543101,0.7611768047014872,0.7528159221013386,0.763294239838918,0.6775852383947745,0.0013607740402221,7549.2998046875,2.4,1.07527,1.75,2.0
2019-02-27,0.7597629427909851,0.7569455146789551,0.7575025862434903,0.7559432232059468,0.0015593630375435,0.7651031961051452,0.7498295555504334,0.0045854534421648,57.89507354497094,0.7604051033655802,0.7583826382954915,0.7617854078610737,0.7570023337999979,0.7638078729311625,0.7549798687299092,0.765188177426656,3.2889463480712595,0.0004615187644958,7554.509765625,2.4,1.07527,1.75,1.4
2019-02-28,0.7607455253601074,0.7576001644134521,0.7580014999537391,0.75629894929144,0.001702550662299,0.7650698781551547,0.7498397170959287,0.0043829126017434,63.94762908592183,0.7596744100252787,0.7583485444386799,0.7620713909467061,0.7559515635172526,0.7633972565333048,0.7546256979306538,0.7657942374547322,2.8254734234205268,0.0046247243881225,7532.52978515625,2.4,1.07527,1.75,1.4
2019-03-01,0.7596302032470703,0.7583582520484924,0.7582520696911748,0.756545708843709,0.0017063608474657,0.76475058614551,0.749936779147993,0.0047743192740849,66.8961357791145,0.7581734458605448,0.7546162803967793,0.7631873687108357,0.7496023575464884,0.7667445341746012,0.7460451920827229,0.7717584570248921,1.479929740305606,-0.0019264221191406,7595.35009765625,2.4,1.07527,1.75,1.4
2019-03-04,0.7528079748153687,0.7581046402454377,0.7574145166333585,0.7562688396564244,0.001145676976934,0.7639014772788333,0.7497249849423124,0.0051593950816563,45.11556466777024,0.7520501613616943,0.7508046627044678,0.7540534734725952,0.7488013505935669,0.7552989721298218,0.7475558519363403,0.7573022842407227,-6.433394261328176,-0.0056181550025939,7577.56982421875,2.4,1.07527,1.75,1.4
2019-03-05,0.7512075901031494,0.7576624572277069,0.7564596048594802,0.7558939322821078,0.0005656725773723,0.7632517576884806,0.749255615406078,0.0050396152905055,41.89436650496045,0.7503586212793986,0.7494024236996968,0.7521637876828511,0.7475972572962443,0.7531199852625529,0.7466410597165425,0.7549251516660054,-8.261834468665862,-0.0085553526878356,7576.35986328125,2.4,1.07527,1.75,1.4
2019-03-06,0.748878538608551,0.756843775510788,0.7552932869747219,0.755374273491474,-8.098651675214619e-05,0.7627939184643437,0.7484050253890346,0.0051398660455431,35.468595272151745,0.747034470240275,0.745117445786794,0.750795563062032,0.741356352965037,0.7527125875155131,0.7394393285115559,0.75647368033727,-11.38218560248285,-0.0118669867515563,7505.919921875,2.4,1.07527,1.75,1.4
2019-03-07,0.7438815832138062,0.7553017914295197,0.7535376402422733,0.7545229631005357,-0.0009853228582623,0.7638167509243995,0.7460873118235559,0.0052917088781084,25.07322844963809,0.7443623344103495,0.743234892686208,0.7450090249379475,0.74258820215861,0.746136466662089,0.7414607604344685,0.746783157189687,-11.806026802585013,-0.0157486200332641,7421.4599609375,2.4,1.07527,1.75,1.4
2019-03-08,0.7437875270843506,0.7540684640407562,0.7520376228333621,0.7537277456178553,-0.0016901227844932,0.7646466076378385,0.7445098042483768,0.0052756028515951,27.85267799803056,0.7443743944168091,0.7421179413795471,0.7460439801216125,0.7404483556747437,0.7483004331588745,0.7381919026374817,0.749970018863678,-10.08764017213806,-0.009020447731018,7408.14013671875,2.4,1.07527,1.75,1.4
2019-03-11,0.7452675700187683,0.752439558506012,0.7509960762465014,0.7531010659438488,-0.0021049896973474,0.765065170740408,0.7432827518231447,0.0052845563207353,15.90526307909964,0.7453317443529764,0.7441274126370747,0.7464719017346699,0.7429872552553812,0.7476762334505717,0.7417829235394795,0.7488163908322651,-7.980300428623146,-0.0059400200843811,7558.06005859375,2.4,1.07527,1.75,1.4
2019-03-12,0.7465695142745972,0.7512538969516754,0.7503150667123624,0.7526172473016821,-0.0023021805893197,0.765283324515185,0.7425335802680638,0.0051255651882716,23.125683946013865,0.7466285427411398,0.7453307310740154,0.7478673259417217,0.7440919478734335,0.7491651376088461,0.7427941362063091,0.750403920809428,-6.096701313986267,-0.0023090243339538,7591.02978515625,2.4,1.00202,1.75,1.4
2019-03-13,0.7486711144447327,0.7501447141170502,0.7500621509788808,0.7523249411641303,-0.0022627901852494,0.7651096929453631,0.7419805358506422,0.0052677989006042,25.701571583021263,0.7493356267611185,0.747412880261739,0.7505938609441121,0.7461546460787455,0.7525166074434916,0.744231899579366,0.7537748416264851,-3.32111229120449,0.0047895312309265,7643.41015625,2.4,1.00202,1.75,1.4
2019-03-14,0.752162516117096,0.749286413192749,0.7503852840770678,0.7523129096791648,-0.0019276256020969,0.7650194814468799,0.7418670961593213,0.005215870482581,33.05961879171892,0.7511328458786011,0.7502729296684265,0.7530224323272705,0.7483833432197571,0.7538823485374451,0.7475234270095825,0.7557719349861145,-1.7208106096125355,0.0083749890327453,7630.91015625,2.4,1.00202,1.75,1.4
2019-03-15,0.750485897064209,0.7483719825744629,0.7504007629981665,0.7521775754113902,-0.0017768124132236,0.7650019005716187,0.7417283340513368,0.0050798271383558,32.343002619500325,0.7503122488657633,0.7481224139531453,0.7526757319768269,0.7457589308420817,0.754865566889445,0.7435690959294636,0.7572290500005086,-2.306438481222379,0.0052183270454406,7688.52978515625,2.4,1.00202,1.75,1.4
2019-03-18,0.7495689988136292,0.748048084974289,0.7502727992774685,0.7519843475152597,-0.0017115482377911,0.7647927167040464,0.7413600085156803,0.0048670300415584,41.898085335416674,0.7499815026919047,0.7482698162396748,0.7512806852658589,0.7469706336657206,0.7529923717180887,0.7452589472134907,0.754291554292043,-2.278769841079335,0.0029994845390319,7714.47998046875,2.4,1.00202,1.75,1.4
2019-03-19,0.7497938275337219,0.7479067087173462,0.7501991113168921,0.7518220867758866,-0.0016229754589944,0.7645238625514962,0.741045303393557,0.0049487948417663,46.20229857083845,0.7512732148170471,0.7479604482650757,0.7531065940856934,0.7461270689964294,0.7564193606376648,0.742814302444458,0.758252739906311,-1.0879250393671696,0.0011227130889892,7723.9501953125,2.4,1.00202,1.75,1.4
2019-03-20,0.7506380081176758,0.7480826556682587,0.750266633901628,0.7517343772456487,-0.0014677433440207,0.7640601115608663,0.7408663196181804,0.0048046622957502,55.13607939617704,0.7502952218055725,0.7496141195297241,0.7513191103935242,0.7485902309417725,0.7520002126693726,0.7479091286659241,0.7530241012573242,-1.5622574344125963,-0.0015245079994201,7728.97021484375,2.41,1.00202,1.75,1.4
