,Close,FTSEMIB.MI,^DJI,^FCHI,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2019-01-02,1.14617121219635,18331.0,23346.240234375,4689.39013671875,10580.1904296875,2510.030029296875,6665.93994140625,2.4,1.82933,0.25,1.9
2019-01-03,1.1318106651306152,18218.0,22686.220703125,4611.490234375,10416.66015625,2447.889892578125,6463.5,2.4,1.82933,0.25,1.9
2019-01-04,1.1391078233718872,18832.0,23433.16015625,4737.1201171875,10767.6904296875,2531.93994140625,6738.85986328125,2.4,1.82933,0.25,1.9
2019-01-07,1.1410444974899292,18953.0,23531.349609375,4719.169921875,10747.8095703125,2549.68994140625,6823.47021484375,2.4,1.82933,0.25,1.9
2019-01-08,1.1479737758636477,19000.0,23787.44921875,4773.27001953125,10803.98046875,2574.409912109375,6897.0,2.4,1.82933,0.25,1.9
2019-01-09,1.1456066370010376,19179.0,23879.119140625,4813.580078125,10893.3203125,2584.9599609375,6957.080078125,2.4,1.82933,0.25,1.9
2019-01-10,1.1554949283599854,19301.0,24001.919921875,4805.66015625,10921.58984375,2596.639892578125,6986.06982421875,2.4,1.82933,0.25,1.9
2019-01-11,1.151012897491455,19290.0,23995.94921875,4781.33984375,10887.4599609375,2596.260009765625,6971.47998046875,2.4,1.53051,0.25,1.9
2019-01-14,1.146013617515564,19171.0,23909.83984375,4762.75,10855.91015625,2582.610107421875,6905.919921875,2.4,1.53051,0.25,1.9
2019-01-15,1.1472889184951782,19165.0,24065.58984375,4786.169921875,10891.7900390625,2610.300048828125,7023.830078125,2.4,1.53051,0.25,1.9
2019-01-16,1.1416828632354736,19478.0,24207.16015625,4810.740234375,10931.240234375,2616.10009765625,7034.68994140625,2.4,1.53051,0.25,1.9
2019-01-17,1.1398088932037354,19470.0,24370.099609375,4794.3701171875,10918.6201171875,2635.9599609375,7084.4599609375,2.4,1.53051,0.25,1.5
2019-01-18,1.13926362991333,19708.0,24706.349609375,4875.93017578125,11205.5400390625,2670.7099609375,7157.22998046875,2.4,1.53051,0.25,1.5
2019-01-22,1.136932134628296,19437.0,24404.48046875,4847.52978515625,11090.1103515625,2632.89990234375,7020.35986328125,2.4,1.53051,0.25,1.5
2019-01-23,1.1364023685455322,19400.0,24575.619140625,4840.3798828125,11071.5400390625,2638.699951171875,7025.77001953125,2.4,1.53051,0.25,1.5
2019-01-24,1.1388224363327026,19564.0,24553.240234375,4871.9599609375,11130.1796875,2642.330078125,7073.4599609375,2.4,1.53051,0.25,1.5
2019-01-25,1.1313496828079224,19811.0,24737.19921875,4925.81982421875,11281.7900390625,2664.760009765625,7164.85986328125,2.4,1.53051,0.25,1.5
2019-01-28,1.1413049697875977,19608.0,24528.220703125,4888.580078125,11210.3095703125,2643.85009765625,7085.68017578125,2.4,1.53051,0.25,1.5
2019-01-29,1.143000841140747,19702.0,24579.9609375,4928.18017578125,11218.830078125,2640.0,7028.2900390625,2.4,1.53051,0.25,1.5
2019-01-30,1.1435366868972778,19772.0,25014.859375,4974.759765625,11181.66015625,2681.050048828125,7183.080078125,2.4,1.53051,0.25,1.5
2019-01-31,1.1487650871276855,19731.0,24999.669921875,4992.72021484375,11173.099609375,2704.10009765625,7281.740234375,2.4,1.53051,0.25,1.5
2019-02-01,1.1449507474899292,19577.0,25063.890625,5019.259765625,11180.66015625,2706.530029296875,7263.8701171875,2.4,1.53051,0.25,1.5
2019-02-04,1.1455278396606443,19606.0,25239.369140625,5000.18994140625,11176.580078125,2724.8701171875,7347.5400390625,2.4,1.53051,0.25,1.5
2019-02-05,1.1436283588409424,19833.0,25411.51953125,5083.33984375,11367.98046875,2737.699951171875,7402.080078125,2.4,1.53051,0.25,1.5
2019-02-06,1.140992522239685,19996.0,25390.30078125,5079.0498046875,11324.7197265625,2731.610107421875,7375.27978515625,2.4,1.53051,0.25,1.5
2019-02-07,1.1365960836410522,19478.0,25169.529296875,4985.56005859375,11022.01953125,2706.050048828125,7288.35009765625,2.4,1.53051,0.25,1.5
2019-02-08,1.1338768005371094,19352.0,25106.330078125,4961.64013671875,10906.7802734375,2707.8798828125,7298.2001953125,2.4,1.53051,0.25,1.5
2019-02-11,1.1324259042739868,19587.0,25053.109375,5014.47021484375,11014.58984375,2709.800048828125,7307.89990234375,2.4,1.53051,0.25,1.5
2019-02-12,1.1279042959213257,19805.0,25425.759765625,5056.35009765625,11126.080078125,2744.72998046875,7414.6201171875,2.4,1.53051,0.25,1.5
2019-02-13,1.1334655284881592,19990.0,25543.26953125,5074.27001953125,11167.2197265625,2753.030029296875,7420.3798828125,2.4,1.07527,0.25,1.5
2019-02-14,1.12649405002594,19835.0,25439.390625,5062.52001953125,11089.7900390625,2745.72998046875,7426.9501953125,2.4,1.07527,0.25,1.5
2019-02-15,1.1295350790023804,20212.0,25883.25,5153.18994140625,11299.7998046875,2775.60009765625,7472.41015625,2.4,1.07527,0.25,1.5
2019-02-19,1.131196141242981,20228.0,25891.3203125,5160.52001953125,11309.2099609375,2779.760009765625,7486.77001953125,2.4,1.07527,0.25,1.5
2019-02-20,1.1343011856079102,20304.0,25954.439453125,5195.9501953125,11401.9697265625,2784.699951171875,7489.06982421875,2.4,1.07527,0.25,1.5
2019-02-21,1.1346358060836792,20210.0,25850.630859375,5196.10986328125,11423.2802734375,2774.8798828125,7459.7099609375,2.4,1.07527,0.25,1.5
2019-02-22,1.1343011856079102,20263.0,26031.810546875,5215.85009765625,11457.7001953125,2792.669921875,7527.5400390625,2.4,1.07527,0.25,1.4
2019-02-25,1.1342240571975708,20437.0,26091.94921875,5231.85009765625,11505.3896484375,2796.110107421875,7554.4599609375,2.4,1.07527,0.25,1.4
2019-02-26,1.1367511749267578,20460.0,26057.98046875,5238.72021484375,11540.7900390625,2793.89990234375,7549.2998046875,2.4,1.07527,0.25,1.4
2019-02-27,1.139315485954285,20499.0,25985.16015625,5225.35009765625,11487.330078125,2792.3798828125,7554.509765625,2.4,1.07527,0.25,1.4
2019-02-28,1.1380189657211304,20659.0,25916.0,5240.52978515625,11515.6396484375,2784.489990234375,7532.52978515625,2.4,1.07527,0.25,1.4
2019-03-01,1.1373459100723269,20695.0,26026.3203125,5265.18994140625,11601.6796875,2803.68994140625,7595.35009765625,2.4,1.07527,0.25,1.4
2019-03-04,1.1375917196273804,20718.0,25819.650390625,5286.56982421875,11592.66015625,2792.81005859375,7577.56982421875,2.4,1.07527,0.25,1.4
2019-03-05,1.133735418319702,20716.0,25806.630859375,5297.52001953125,11620.740234375,2789.64990234375,7576.35986328125,2.4,1.07527,0.25,1.4
2019-03-06,1.1307101249694824,20852.0,25673.4609375,5288.81005859375,11587.6298828125,2771.449951171875,7505.919921875,2.4,1.07527,0.25,1.4
2019-03-07,1.1314009428024292,20698.0,25473.23046875,5267.919921875,11517.7998046875,2748.929931640625,7421.4599609375,2.4,1.07527,0.25,1.4
2019-03-08,1.1198333501815796,20484.0,25450.240234375,5231.22021484375,11457.83984375,2743.070068359375,7408.14013671875,2.4,1.07527,0.25,1.4
2019-03-11,1.1232421398162842,20638.0,25650.880859375,5265.9599609375,11543.48046875,2783.300048828125,7558.06005859375,2.4,1.07527,0.25,1.4
2019-03-12,1.1259232759475708,20631.0,25554.66015625,5270.25,11524.169921875,2791.52001953125,7591.02978515625,2.4,1.00202,0.25,1.4
2019-03-13,1.1287446022033691,20749.0,25702.890625,5306.3798828125,11572.41015625,2810.919921875,7643.41015625,2.4,1.00202,0.25,1.4
2019-03-14,1.133105993270874,20877.0,25709.939453125,5349.77978515625,11587.4697265625,2808.47998046875,7630.91015625,2.4,1.00202,0.25,1.4
2019-03-15,1.1308379173278809,21045.0,25848.869140625,5405.31982421875,11685.6904296875,2822.47998046875,7688.52978515625,2.4,1.00202,0.25,1.5
2019-03-18,1.1319772005081177,21235.0,25914.099609375,5412.830078125,11657.0595703125,2832.93994140625,7714.47998046875,2.4,1.00202,0.25,1.5
2019-03-19,1.133619785308838,21430.0,25887.380859375,5425.89990234375,11788.41015625,2832.570068359375,7723.9501953125,2.4,1.00202,0.25,1.5
2019-03-20,1.135486125946045,21330.0,25745.669921875,5382.66015625,11603.8896484375,2824.22998046875,7728.97021484375,2.41,1.00202,0.25,1.5
2019-03-21,1.1427918672561646,21373.0,25962.509765625,5378.85009765625,11549.9599609375,2854.8798828125,7838.9599609375,2.41,1.00202,0.25,1.5
2019-03-22,1.1375011205673218,21079.0,25502.3203125,5269.919921875,11364.169921875,2800.7099609375,7642.669921875,2.41,1.00202,0.25,1.5
2019-03-25,1.129586100578308,21060.0,25516.830078125,5260.64013671875,11346.650390625,2798.360107421875,7637.5400390625,2.4,1.00202,0.25,1.5
2019-03-26,1.131580114364624,21139.0,25657.73046875,5307.3798828125,11419.48046875,2818.4599609375,7691.52001953125,2.4,1.00202,0.25,1.5
2019-03-27,1.127484679222107,21194.0,25625.58984375,5301.240234375,11419.0400390625,2805.3701171875,7643.3798828125,2.41,1.00202,0.25,1.5
2019-03-28,1.1251758337020874,21081.0,25717.4609375,5296.5400390625,11428.16015625,2815.43994140625,7669.169921875,2.41,1.00202,0.25,1.5
2019-03-29,1.1230024099349976,21286.0,25928.6796875,5350.52978515625,11526.0400390625,2834.39990234375,7729.31982421875,2.43,1.00202,0.25,1.5
2019-04-01,1.1223849058151243,21520.0,26258.419921875,5405.52978515625,11681.990234375,2867.18994140625,7828.91015625,2.41,1.00202,0.25,1.5
2019-04-02,1.1205737590789795,21523.0,26179.130859375,5423.47021484375,11754.7900390625,2867.239990234375,7848.68994140625,2.41,1.00202,0.25,1.5
2019-04-03,1.1203854084014893,21756.0,26218.130859375,5468.91015625,11954.400390625,2873.39990234375,7895.5498046875,2.41,1.00202,0.25,1.5
2019-04-04,1.1246949434280396,21706.0,26384.630859375,5463.7998046875,11988.009765625,2879.389892578125,7891.77978515625,2.41,1.00202,0.25,1.5
2019-04-05,1.1225864887237549,21759.0,26424.990234375,5476.2001953125,12009.75,2892.739990234375,7938.68994140625,2.41,1.00202,0.25,1.5
