,Close,^DJI,^FTSE,^GSPC,^IXIC,usd_interest,usd_inflation,gbp_interest,gbp_inflation
2019-02-12,1.2864052057266235,25425.759765625,7133.10009765625,2744.72998046875,7414.6201171875,2.4,1.53051,0.75,2.0
2019-02-13,1.2892080545425415,25543.26953125,7190.7998046875,2753.030029296875,7420.3798828125,2.4,1.07527,0.75,1.8
2019-02-14,1.2856775522232056,25439.390625,7197.0,2745.72998046875,7426.9501953125,2.4,1.07527,0.75,1.8
2019-02-15,1.2798361778259275,25883.25,7236.7001953125,2775.60009765625,7472.41015625,2.4,1.07527,0.75,1.8
2019-02-19,1.2924071550369265,25891.3203125,7179.2001953125,2779.760009765625,7486.77001953125,2.4,1.07527,0.75,1.8
2019-02-20,1.3061310052871704,25954.439453125,7228.60009765625,2784.699951171875,7489.06982421875,2.4,1.07527,0.75,1.8
2019-02-21,1.30451238155365,25850.630859375,7167.39990234375,2774.8798828125,7459.7099609375,2.4,1.07527,0.75,1.8
2019-02-22,1.3041380643844604,26031.810546875,7178.60009765625,2792.669921875,7527.5400390625,2.4,1.07527,0.75,1.8
2019-02-25,1.306557536125183,26091.94921875,7183.7001953125,2796.110107421875,7554.4599609375,2.4,1.07527,0.75,1.8
2019-02-26,1.31271493434906,26057.98046875,7151.10009765625,2793.89990234375,7549.2998046875,2.4,1.07527,0.75,1.8
2019-02-27,1.3258028030395508,25985.16015625,7107.2001953125,2792.3798828125,7554.509765625,2.4,1.07527,0.75,1.8
2019-02-28,1.3318239450454712,25916.0,7074.7001953125,2784.489990234375,7532.52978515625,2.4,1.07527,0.75,1.8
2019-03-01,1.3264886140823364,26026.3203125,7106.7001953125,2803.68994140625,7595.35009765625,2.4,1.07527,0.75,1.8
2019-03-04,1.32397723197937,25819.650390625,7134.39990234375,2792.81005859375,7577.56982421875,2.4,1.07527,0.75,1.8
2019-03-05,1.3178529739379885,25806.630859375,7183.39990234375,2789.64990234375,7576.35986328125,2.4,1.07527,0.75,1.8
2019-03-06,1.3156682252883911,25673.4609375,7196.0,2771.449951171875,7505.919921875,2.4,1.07527,0.75,1.8
2019-03-07,1.3182177543640137,25473.23046875,7157.60009765625,2748.929931640625,7421.4599609375,2.4,1.07527,0.75,1.8
2019-03-08,1.3092432022094729,25450.240234375,7104.2998046875,2743.070068359375,7408.14013671875,2.4,1.07527,0.75,1.8
2019-03-11,1.2988362312316897,25650.880859375,7130.60009765625,2783.300048828125,7558.06005859375,2.4,1.07527,0.75,1.8
2019-03-12,1.3248542547225952,25554.66015625,7151.2001953125,2791.52001953125,7591.02978515625,2.4,1.00202,0.75,1.8
2019-03-13,1.3066771030426023,25702.890625,7159.2001953125,2810.919921875,7643.41015625,2.4,1.00202,0.75,1.8
2019-03-14,1.3285682201385498,25709.939453125,7185.39990234375,2808.47998046875,7630.91015625,2.4,1.00202,0.75,1.8
2019-03-15,1.3258554935455322,25848.869140625,7228.2998046875,2822.47998046875,7688.52978515625,2.4,1.00202,0.75,1.8
2019-03-18,1.329716444015503,25914.099609375,7299.2001953125,2832.93994140625,7714.47998046875,2.4,1.00202,0.75,1.8
2019-03-19,1.326435923576355,25887.380859375,7324.0,2832.570068359375,7723.9501953125,2.4,1.00202,0.75,1.8
2019-03-20,1.3271400928497314,25745.669921875,7291.0,2824.22998046875,7728.97021484375,2.41,1.00202,0.75,1.8
2019-03-21,1.320533037185669,25962.509765625,7355.2998046875,2854.8798828125,7838.9599609375,2.41,1.00202,0.75,1.8
2019-03-22,1.313232183456421,25502.3203125,7207.60009765625,2800.7099609375,7642.669921875,2.41,1.00202,0.75,1.8
2019-03-25,1.3206549882888794,25516.830078125,7177.60009765625,2798.360107421875,7637.5400390625,2.4,1.00202,0.75,1.8
2019-03-26,1.3215277194976809,25657.73046875,7196.2998046875,2818.4599609375,7691.52001953125,2.4,1.00202,0.75,1.8
2019-03-27,1.321143627166748,25625.58984375,7194.2001953125,2805.3701171875,7643.3798828125,2.41,1.00202,0.75,1.8
2019-03-28,1.3152703046798706,25717.4609375,7234.2998046875,2815.43994140625,7669.169921875,2.41,1.00202,0.75,1.8
2019-03-29,1.30565345287323,25928.6796875,7279.2001953125,2834.39990234375,7729.31982421875,2.43,1.00202,0.75,1.8
2019-04-01,1.3022867441177368,26258.419921875,7317.39990234375,2867.18994140625,7828.91015625,2.41,1.00202,0.75,1.8
2019-04-02,1.3068991899490356,26179.130859375,7391.10009765625,2867.239990234375,7848.68994140625,2.41,1.00202,0.75,1.8
2019-04-03,1.312766671180725,26218.130859375,7418.2998046875,2873.39990234375,7895.5498046875,2.41,1.00202,0.75,1.8
2019-04-04,1.3176966905593872,26384.630859375,7401.89990234375,2879.389892578125,7891.77978515625,2.41,1.00202,0.75,1.8
2019-04-05,1.3077024221420288,26424.990234375,7446.89990234375,2892.739990234375,7938.68994140625,2.41,1.00202,0.75,1.8
2019-04-08,1.3038150072097778,26341.01953125,7451.89990234375,2895.77001953125,7953.8798828125,2.41,1.00202,0.75,1.8
2019-04-09,1.306335687637329,26150.580078125,7425.60009765625,2878.199951171875,7909.27978515625,2.41,1.00202,0.75,1.8
2019-04-10,1.305721640586853,26157.16015625,7421.89990234375,2888.2099609375,7964.240234375,2.41,1.44217,0.75,1.8
2019-04-11,1.3099292516708374,26143.05078125,7418.0,2888.320068359375,7947.35986328125,2.41,1.44217,0.75,1.8
2019-04-12,1.3056023120880127,26412.30078125,7437.10009765625,2907.409912109375,7984.16015625,2.41,1.44217,0.75,1.8
2019-04-15,1.3083868026733398,26384.76953125,7436.89990234375,2905.580078125,7976.009765625,2.41,1.44217,0.75,1.8
2019-04-16,1.3102725744247437,26452.66015625,7469.89990234375,2907.06005859375,8000.22998046875,2.41,1.44217,0.75,1.8
2019-04-17,1.3046314716339111,26449.5390625,7471.2998046875,2900.449951171875,7996.080078125,2.42,1.44217,0.75,1.8
2019-04-18,1.3039339780807495,26559.5390625,7459.89990234375,2905.030029296875,7998.06005859375,2.43,1.44217,0.75,1.8
2019-04-23,1.2981449365615845,26656.390625,7523.10009765625,2933.679931640625,8120.81982421875,2.44,1.44217,0.75,1.8
2019-04-24,1.2938116788864136,26597.05078125,7471.7998046875,2927.25,8102.009765625,2.44,1.44217,0.75,1.8
2019-04-25,1.2904890775680542,26462.080078125,7434.10009765625,2926.169921875,8118.68017578125,2.44,1.44217,0.75,1.8
2019-04-26,1.289607048034668,26543.330078125,7428.2001953125,2939.8798828125,8146.39990234375,2.44,1.44217,0.75,1.8
2019-04-29,1.2920230627059937,26554.390625,7440.7001953125,2943.030029296875,8161.85009765625,2.45,1.44217,0.75,1.8
2019-04-30,1.2932428121566772,26592.91015625,7418.2001953125,2945.830078125,8095.39013671875,2.45,1.44217,0.75,1.8
2019-05-01,1.3039849996566772,26430.140625,7385.2998046875,2923.72998046875,8049.64013671875,2.45,1.44217,0.75,1.8
2019-05-02,1.3053126335144043,26307.7890625,7351.2998046875,2917.52001953125,8036.77001953125,2.41,1.44217,0.75,1.8
2019-05-03,1.3033220767974854,26504.94921875,7380.60009765625,2945.639892578125,8164.0,2.4,1.44217,0.75,1.8
2019-05-07,1.3099292516708374,25965.08984375,7260.5,2884.050048828125,7963.759765625,2.4,1.44217,0.75,1.8
2019-05-08,1.3068820238113403,25967.330078125,7271.0,2879.419921875,7943.31982421875,2.39,1.44217,0.75,1.8
2019-05-09,1.3012022972106934,25828.359375,7207.39990234375,2870.719970703125,7910.58984375,2.38,1.44217,0.75,1.8
2019-05-10,1.3009653091430664,25942.369140625,7203.2998046875,2881.39990234375,7916.93994140625,2.38,1.59855,0.75,1.8
2019-05-13,1.3010668754577637,25324.990234375,7163.7001953125,2811.8701171875,7647.02001953125,2.38,1.59855,0.75,1.8
2019-05-14,1.2963106632232666,25532.05078125,7241.60009765625,2834.409912109375,7734.490234375,2.38,1.59855,0.75,1.8
2019-05-15,1.2906556129455566,25648.01953125,7297.0,2850.9599609375,7822.14990234375,2.4,1.59855,0.75,1.8
2019-05-16,1.2847524881362915,25862.6796875,7353.5,2876.320068359375,7898.0498046875,2.39,1.59855,0.75,1.8
2019-05-17,1.2797706127166748,25764.0,7348.60009765625,2859.530029296875,7816.27978515625,2.39,1.59855,0.75,1.8
2019-05-20,1.2731555700302124,25679.900390625,7310.89990234375,2840.22998046875,7702.3798828125,2.39,1.59855,0.75,1.8
2019-05-21,1.2729123830795288,25877.330078125,7328.89990234375,2864.360107421875,7785.72021484375,2.39,1.59855,0.75,1.8
2019-05-23,1.2664159536361694,25490.470703125,7231.0,2822.239990234375,7628.27978515625,2.38,1.59855,0.75,2.0
2019-05-24,1.2664639949798584,25585.689453125,7277.7001953125,2826.06005859375,7637.009765625,2.38,1.59855,0.75,2.0
2019-05-28,1.2682307958602903,25347.76953125,7269.0,2802.389892578125,7607.35009765625,2.39,1.59855,0.75,2.0
2019-05-29,1.2659670114517212,25126.41015625,7185.2998046875,2783.02001953125,7547.31005859375,2.39,1.59855,0.75,2.0
2019-05-30,1.2629451751708984,25169.880859375,7218.2001953125,2788.860107421875,7567.72021484375,2.39,1.59855,0.75,2.0
2019-05-31,1.2609704732894895,24815.0390625,7161.7001953125,2752.06005859375,7453.14990234375,2.4,1.59855,0.75,2.0
2019-06-03,1.2639508247375488,24819.779296875,7184.7998046875,2744.449951171875,7333.02001953125,2.38,1.59855,0.75,2.0
2019-06-04,1.2664159536361694,25332.1796875,7214.2998046875,2803.27001953125,7527.1201171875,2.38,1.59855,0.75,2.0
2019-06-05,1.2702767848968506,25539.5703125,7220.2001953125,2826.14990234375,7575.47998046875,2.38,1.59855,0.75,2.0
2019-06-06,1.2688584327697754,25720.66015625,7259.89990234375,2843.489990234375,7615.5498046875,2.37,1.59855,0.75,2.0
2019-06-07,1.269841194152832,25983.939453125,7331.89990234375,2873.340087890625,7742.10009765625,2.37,1.59855,0.75,2.0
2019-06-10,1.2722970247268677,26062.6796875,7375.5,2886.72998046875,7823.169921875,2.37,1.59855,0.75,2.0
2019-06-11,1.2691160440444946,26048.509765625,7398.5,2885.719970703125,7822.56982421875,2.37,1.59855,0.75,2.0
2019-06-12,1.2724426984786987,26004.830078125,7367.60009765625,2879.840087890625,7792.72021484375,2.37,1.33384,0.75,2.0
2019-06-13,1.2693415880203247,26106.76953125,7368.60009765625,2891.639892578125,7837.1298828125,2.37,1.33384,0.75,2.0
2019-06-14,1.268005609512329,26089.609375,7345.7998046875,2886.97998046875,7796.66015625,2.36,1.33384,0.75,2.0
2019-06-17,1.2596044540405271,26112.529296875,7357.2998046875,2889.669921875,7845.02001953125,2.38,1.33384,0.75,2.0
2019-06-18,1.2541544437408447,26465.5390625,7443.0,2917.75,7953.8798828125,2.37,1.33384,0.75,2.0
2019-06-19,1.2566603422164917,26504.0,7403.5,2926.4599609375,7987.31982421875,2.37,1.33384,0.75,1.9
2019-06-20,1.2656625509262085,26753.169921875,7424.39990234375,2954.179931640625,8051.33984375,2.37,1.33384,0.75,1.9
2019-06-21,1.270793318748474,26719.130859375,7407.5,2950.4599609375,8031.7099609375,2.38,1.33384,0.75,1.9
2019-06-24,1.2750873565673828,26727.5390625,7416.7001953125,2945.35009765625,8005.7001953125,2.38,1.33384,0.75,1.9
2019-06-25,1.2739664316177368,26548.220703125,7422.39990234375,2917.3798828125,7884.72021484375,2.38,1.33384,0.75,1.9
2019-06-26,1.2690677642822266,26536.8203125,7416.39990234375,2913.780029296875,7909.97021484375,2.38,1.33384,0.75,1.9
2019-06-27,1.269841194152832,26526.580078125,7402.2998046875,2924.919921875,7967.759765625,2.38,1.33384,0.75,1.9
2019-06-28,1.267748475074768,26599.9609375,7425.60009765625,2941.760009765625,8006.240234375,2.4,1.33384,0.75,1.9
2019-07-01,1.2694543600082395,26717.4296875,7497.5,2964.330078125,8091.16015625,2.39,1.33384,0.75,1.9
2019-07-02,1.2644623517990112,26786.6796875,7559.2001953125,2973.010009765625,8109.08984375,2.4,1.33384,0.75,1.9
2019-07-03,1.25982666015625,26966.0,7609.2998046875,2995.820068359375,8170.22998046875,2.41,1.33384,0.75,1.9
2019-07-05,1.2583048343658447,26922.119140625,7553.10009765625,2990.409912109375,8161.7900390625,2.42,1.33384,0.75,1.9
2019-07-08,1.2525520324707031,26806.140625,7549.2998046875,2975.949951171875,8098.3798828125,2.41,1.33384,0.75,1.9
2019-07-09,1.2516427040100098,26783.490234375,7536.5,2979.6298828125,8141.72998046875,2.41,1.33384,0.75,1.9
2019-07-10,1.2458575963974,26860.19921875,7530.7001953125,2993.070068359375,8202.5302734375,2.41,1.33384,0.75,1.9
2019-07-11,1.2508130073547363,27088.080078125,7509.7998046875,2999.909912109375,8196.0400390625,2.4,1.14188,0.75,1.9
2019-07-12,1.2523481845855713,27332.029296875,7506.0,3013.77001953125,8244.1396484375,2.38,1.14188,0.75,1.9
2019-07-15,1.2571974992752075,27359.16015625,7531.7001953125,3014.300048828125,8258.1904296875,2.4,1.14188,0.75,1.9
2019-07-16,1.251799464225769,27335.630859375,7577.2001953125,3004.0400390625,8222.7998046875,2.41,1.14188,0.75,1.9
2019-07-17,1.2412029504776,27219.849609375,7535.5,2984.419921875,8185.2099609375,2.41,1.14188,0.75,1.9
2019-07-18,1.2434717416763306,27222.970703125,7493.10009765625,2995.110107421875,8207.240234375,2.41,1.14188,0.75,1.9
2019-07-19,1.2541857957839966,27154.19921875,7508.7001953125,2976.610107421875,8146.490234375,2.41,1.14188,0.75,1.9
2019-07-22,1.2512825727462769,27171.900390625,7514.89990234375,2985.030029296875,8204.1396484375,2.4,1.14188,0.75,1.9
2019-07-23,1.2474894523620603,27349.189453125,7556.89990234375,3005.469970703125,8251.400390625,2.4,1.14188,0.75,1.9
2019-07-24,1.243904948234558,27269.970703125,7501.5,3019.56005859375,8321.5,2.4,1.14188,0.75,1.9
2019-07-25,1.2485953569412231,27140.98046875,7489.10009765625,3003.669921875,8238.5400390625,2.4,1.14188,0.75,1.9
2019-07-26,1.2453454732894895,27192.44921875,7549.10009765625,3025.860107421875,8330.2099609375,2.4,1.14188,0.75,1.9
2019-07-29,1.2376697063446045,27221.349609375,7686.60009765625,3020.969970703125,8293.330078125,2.4,1.14188,0.75,1.9
2019-07-30,1.2217471599578855,27198.01953125,7646.7998046875,3013.179931640625,8273.6103515625,2.39,1.14188,0.75,1.9
2019-07-31,1.2161602973937988,26864.26953125,7586.7998046875,2980.3798828125,8175.419921875,2.4,1.14188,0.75,1.9
2019-08-01,1.215376853942871,26583.419921875,7584.89990234375,2953.56005859375,8111.1201171875,2.14,1.14188,0.75,1.9
2019-08-02,1.2124298810958862,26485.009765625,7407.10009765625,2932.050048828125,8004.06982421875,2.14,1.14188,0.75,1.9
2019-08-05,1.215214490890503,25717.740234375,7223.89990234375,2844.739990234375,7726.0400390625,2.13,1.14188,0.75,1.9
2019-08-06,1.2158203125,26029.51953125,7171.7001953125,2881.77001953125,7833.27001953125,2.13,1.14188,0.75,1.9
2019-08-07,1.2169743776321411,26007.0703125,7198.7001953125,2883.97998046875,7862.830078125,2.12,1.14188,0.75,1.9
2019-08-08,1.2143291234970093,26378.189453125,7285.89990234375,2938.090087890625,8039.16015625,2.12,1.14188,0.75,1.9
2019-08-09,1.2143733501434326,26287.439453125,7253.89990234375,2918.64990234375,7959.14013671875,2.12,1.14188,0.75,1.9
2019-08-12,1.2021976709365845,25896.439453125,7226.7001953125,2882.699951171875,7863.41015625,2.12,1.14188,0.75,1.9
2019-08-13,1.207875370979309,26279.91015625,7250.89990234375,2926.320068359375,8016.35986328125,2.12,1.36178,0.75,1.9
2019-08-14,1.2064181566238403,25479.419921875,7147.89990234375,2840.60009765625,7773.93994140625,2.12,1.36178,0.75,2.0
2019-08-15,1.2060399055480957,25579.390625,7067.0,2847.60009765625,7766.6201171875,2.13,1.36178,0.75,2.0
2019-08-16,1.209160566329956,25886.009765625,7117.2001953125,2888.679931640625,7895.990234375,2.13,1.36178,0.75,2.0
2019-08-19,1.2161011695861816,26135.7890625,7189.7001953125,2923.64990234375,8002.81005859375,2.13,1.36178,0.75,2.0
2019-08-20,1.2131506204605105,25962.439453125,7125.0,2900.510009765625,7948.56005859375,2.13,1.36178,0.75,2.0
2019-08-21,1.21623432636261,26202.73046875,7204.0,2924.429931640625,8020.2099609375,2.12,1.36178,0.75,2.0
2019-08-22,1.213224172592163,26252.240234375,7128.2001953125,2922.949951171875,7991.39013671875,2.12,1.36178,0.75,2.0
2019-08-23,1.2251899242401123,25628.900390625,7095.0,2847.110107421875,7751.77001953125,2.12,1.36178,0.75,2.0
2019-08-27,1.222195029258728,25777.900390625,7089.60009765625,2869.159912109375,7826.9501953125,2.12,1.36178,0.75,2.0
2019-08-28,1.2283201217651367,26036.099609375,7114.7001953125,2887.93994140625,7856.8798828125,2.12,1.36178,0.75,2.0
2019-08-29,1.2218515872955322,26362.25,7184.2998046875,2924.580078125,7973.39013671875,2.12,1.36178,0.75,2.0
2019-08-30,1.218650221824646,26403.279296875,7207.2001953125,2926.4599609375,7962.8798828125,2.13,1.36178,0.75,2.0
2019-09-03,1.2066656351089478,26118.01953125,7268.2001953125,2906.27001953125,7874.16015625,2.13,1.36178,0.75,2.0
2019-09-04,1.2090436220169067,26355.470703125,7311.2998046875,2937.780029296875,7976.8798828125,2.13,1.36178,0.75,2.0
2019-09-05,1.2248897552490234,26728.150390625,7271.2001953125,2976.0,8116.830078125,2.13,1.36178,0.75,2.0
2019-09-06,1.232392191886902,26797.4609375,7282.2998046875,2978.7099609375,8103.06982421875,2.12,1.36178,0.75,2.0
2019-09-09,1.228305101394653,26835.509765625,7235.7998046875,2978.429931640625,8087.43994140625,2.13,1.36178,0.75,2.0
2019-09-10,1.2345373630523682,26909.4296875,7268.0,2979.389892578125,8084.16015625,2.13,1.36178,0.75,2.0
2019-09-11,1.2354830503463743,27137.0390625,7338.0,3000.929931640625,8169.68017578125,2.13,1.36178,0.75,2.0
2019-09-12,1.233471393585205,27182.44921875,7344.7001953125,3009.570068359375,8194.4697265625,2.13,1.28584,0.75,2.0
2019-09-13,1.2329391241073608,27219.51953125,7367.5,3007.389892578125,8176.7099609375,2.14,1.28584,0.75,2.0
2019-09-16,1.2497344017028809,27076.8203125,7321.39990234375,2997.9599609375,8153.5400390625,2.25,1.28584,0.75,2.0
2019-09-17,1.2428536415100098,27110.80078125,7320.39990234375,3005.699951171875,8186.02001953125,2.3,1.28584,0.75,2.0
