,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1289,100,64,0.001,64,64,relu,tanh,7.36244793201146e-06,0.0027133831155978436,0.0022554365342244516
569,50,64,0.01,16,16,relu,tanh,7.366799936730299e-06,0.0027141849488806578,0.002288193438761183
551,50,64,0.001,64,32,relu,tanh,7.371291261827551e-06,0.0027150122028874106,0.0020394030784871564
1017,100,32,0.001,32,64,relu,relu,7.374899589114676e-06,0.0027156766355946496,0.002172094813183309
1259,100,64,0.001,32,32,tanh,tanh,7.38976639417902e-06,0.0027184124768288975,0.0023248769440937403
1276,100,64,0.001,64,16,tanh,sigmoid,7.408583272994597e-06,0.0027218712814890047,0.002311112517240047
508,50,64,0.001,16,64,sigmoid,sigmoid,7.432638627201869e-06,0.002726286600341547,0.002285211752371633
464,50,32,0.1,64,16,sigmoid,tanh,7.433242221160445e-06,0.0027263972970131196,0.002005793362735725
648,50,64,0.1,16,16,relu,relu,7.43891391878944e-06,0.002727437243785719,0.001871918762904929
323,50,32,0.001,64,64,tanh,tanh,7.46419658334419e-06,0.002732068187901647,0.0023280919189393313
602,50,64,0.01,32,16,tanh,tanh,7.491195899469638e-06,0.00273700491403827,0.0023984422412047066
21,50,16,0.001,16,64,sigmoid,relu,7.498103075826318e-06,0.002738266436237774,0.0023198179589178913
296,50,32,0.001,32,64,tanh,tanh,7.508845812763589e-06,0.0027402273286651945,0.0023416858581464636
484,50,32,0.1,64,64,tanh,sigmoid,7.525664412122263e-06,0.0027432944450281422,0.0021231406963905194
520,50,64,0.001,32,16,tanh,sigmoid,7.545847749588389e-06,0.0027469706495680635,0.0022870539094486495
576,50,64,0.01,16,32,relu,relu,7.555686804583728e-06,0.0027487609580652385,0.002280188736627478
855,100,16,0.01,32,64,relu,relu,7.594439955050198e-06,0.0027558011457741644,0.0020767759823861597
644,50,64,0.01,64,64,sigmoid,tanh,7.613345210384165e-06,0.002759229097118281,0.0023539017694956085
621,50,64,0.01,64,16,relu,relu,7.635111643442852e-06,0.002763170578057542,0.002375767955339066
1435,100,64,0.1,64,16,sigmoid,sigmoid,7.665341412317275e-06,0.002768635297816828,0.002340515044985993
1403,100,64,0.1,16,64,tanh,tanh,7.671033458503761e-06,0.00276966305865962,0.0024765217835824183
1356,100,64,0.01,64,16,tanh,relu,7.686944846102739e-06,0.0027725340117125234,0.0020536017610493723
542,50,64,0.001,64,16,relu,tanh,7.745175652438568e-06,0.002783015568127237,0.0023768454414614393
1264,100,64,0.001,32,64,sigmoid,sigmoid,7.764672781334228e-06,0.0027865162445846656,0.0023967650236700814
146,50,16,0.01,64,32,relu,tanh,7.771345690865733e-06,0.002787713344457377,0.001865747400325461
1293,100,64,0.001,64,64,tanh,relu,7.793059659883909e-06,0.002791605212039107,0.0024756505913587235
1277,100,64,0.001,64,16,tanh,tanh,7.81340187585411e-06,0.0027952462996763115,0.0024213577763564993
897,100,16,0.1,16,16,tanh,relu,7.81640664927106e-06,0.002795783727199059,0.0021353030382295513
317,50,32,0.001,64,64,relu,tanh,7.820122900867863e-06,0.002796448265365884,0.002311456965926162
277,50,32,0.001,32,16,tanh,sigmoid,7.872331333818855e-06,0.0028057675124320003,0.0024460433199196864
1008,100,32,0.001,32,32,relu,relu,7.877825125229394e-06,0.0028067463592618045,0.002296909440486067
709,50,64,0.1,64,16,tanh,sigmoid,7.887302781296726e-06,0.002808434222355355,0.0022547211201778875
993,100,32,0.001,16,64,sigmoid,relu,7.895622611389653e-06,0.002809915054123461,0.0024164852354545442
96,50,16,0.01,16,32,tanh,relu,7.914014980844294e-06,0.00281318591295426,0.0019579995223677096
912,100,16,0.1,16,64,sigmoid,relu,7.931335785703324e-06,0.002816262733784496,0.002423687607128218
975,100,32,0.001,16,16,sigmoid,relu,7.959375479670886e-06,0.0028212365160813595,0.002422102644309054
923,100,16,0.1,32,16,sigmoid,tanh,7.98116946454124e-06,0.0028250963637619936,0.0020507307336956023
228,50,16,0.1,64,32,sigmoid,relu,7.985645757035907e-06,0.002825888489844549,0.002235447542435214
511,50,64,0.001,16,64,tanh,sigmoid,7.98825470061166e-06,0.0028263500668904516,0.0023561916329370314
1268,100,64,0.001,32,64,tanh,tanh,7.993729254544556e-06,0.0028273183857755665,0.0024019254365823723
485,50,32,0.1,64,64,tanh,tanh,8.000825781595669e-06,0.0028285730999208186,0.002263281402004076
311,50,32,0.001,64,32,sigmoid,tanh,8.007204584337655e-06,0.0028297004407423863,0.0024400828843721845
254,50,32,0.001,16,32,relu,tanh,8.007430088081995e-06,0.0028297402863305308,0.0022696177565764623
306,50,32,0.001,64,32,relu,relu,8.020825165551935e-06,0.0028321061359970136,0.002285721851596676
987,100,32,0.001,16,32,tanh,relu,8.030188437523024e-06,0.0028337587119447952,0.0023560500513794425
1010,100,32,0.001,32,32,relu,tanh,8.10517762354568e-06,0.0028469593645757715,0.0022259697253975454
56,50,16,0.001,64,16,relu,tanh,8.123563411473161e-06,0.002850186557310444,0.0023158104793513704
308,50,32,0.001,64,32,relu,tanh,8.159506315168696e-06,0.0028564849579804717,0.002499553386006024
570,50,64,0.01,16,16,sigmoid,relu,8.18470291377043e-06,0.0028608919786965795,0.002464027429668877
17,50,16,0.001,16,32,tanh,tanh,8.197338420077024e-06,0.0028630994429249264,0.002516886514313496
321,50,32,0.001,64,64,tanh,relu,8.211701951144919e-06,0.002865606733511233,0.002444931391259815
453,50,32,0.1,32,64,sigmoid,relu,8.222909990762877e-06,0.002867561680376357,0.002583080280851862
315,50,32,0.001,64,64,relu,relu,8.224565962903414e-06,0.002867850408041433,0.0023734679514551284
708,50,64,0.1,64,16,tanh,relu,8.229570121974255e-06,0.002868722733547851,0.002265176324349141
219,50,16,0.1,64,16,sigmoid,relu,8.288600979413843e-06,0.0028789930495598357,0.0022867305109225268
1019,100,32,0.001,32,64,relu,tanh,8.289935645613993e-06,0.0028792248341548447,0.002408994700378533
995,100,32,0.001,16,64,sigmoid,tanh,8.29139812298705e-06,0.0028794787936338496,0.002422092457243785
239,50,16,0.1,64,64,sigmoid,tanh,8.299491006190457e-06,0.00288088371965799,0.0022020523203541346
597,50,64,0.01,32,16,sigmoid,relu,8.301317347686067e-06,0.0028812006781350837,0.002511930262310302
486,50,64,0.001,16,16,relu,relu,8.301538366220794e-06,0.0028812390331627805,0.0024653949907253135
1020,100,32,0.001,32,64,sigmoid,relu,8.302554047064837e-06,0.002881415285422224,0.0024508090481605584
5,50,16,0.001,16,16,sigmoid,tanh,8.308869585965248e-06,0.002882510986269653,0.0024819486103962282
1440,100,64,0.1,64,32,relu,relu,8.329033035804347e-06,0.0028860064164523865,0.002029753701480281
66,50,16,0.001,64,32,sigmoid,relu,8.340432070730839e-06,0.002887980621598912,0.0024648259020985494
275,50,32,0.001,32,16,sigmoid,tanh,8.375682021608348e-06,0.002894077058685264,0.0024708442314137634
565,50,64,0.001,64,64,tanh,sigmoid,8.378337758138871e-06,0.002894535845025739,0.002474223329904068
57,50,16,0.001,64,16,sigmoid,relu,8.390865419630971e-06,0.0028966990557582903,0.0024737399804670036
1113,100,32,0.01,64,16,tanh,relu,8.399741539338845e-06,0.0028982307601947165,0.002236594694563151
510,50,64,0.001,16,64,tanh,relu,8.413233344457903e-06,0.0029005574196105657,0.0023987401137893433
558,50,64,0.001,64,64,relu,relu,8.422885527349878e-06,0.002902220792315753,0.002202453246642719
533,50,64,0.001,32,64,relu,tanh,8.430292029748733e-06,0.002903496517950165,0.0023541134483189767
674,50,64,0.1,16,64,tanh,tanh,8.43278118306012e-06,0.002903925133859363,0.002164166688873976
251,50,32,0.001,16,16,tanh,tanh,8.498269194099841e-06,0.0029151791015475945,0.0025196781315123405
