,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
781,100,16,0.001,32,64,tanh,sigmoid,2.4779557209332826e-06,0.0015741523817385922,0.00141299739542786
322,50,32,0.001,64,64,tanh,sigmoid,2.4821840997485325e-06,0.0015754948745548278,0.0013217877633256653
1112,100,32,0.01,64,16,sigmoid,tanh,2.484483322925916e-06,0.0015762243885075232,0.0011854675801547217
462,50,32,0.1,64,16,sigmoid,relu,2.485435373076615e-06,0.0015765263629500823,0.001305913949595749
63,50,16,0.001,64,32,relu,relu,2.487458886909535e-06,0.001577167995778996,0.0013993139872130274
789,100,16,0.001,64,16,tanh,relu,2.4879584775110287e-06,0.0015773263700043275,0.001319989093594605
391,50,32,0.01,64,32,sigmoid,sigmoid,2.488821682453684e-06,0.0015775999754226936,0.001256344995628105
774,100,16,0.001,32,64,relu,relu,2.4892576970883652e-06,0.0015777381585955145,0.0013161017258212335
385,50,32,0.01,64,16,tanh,sigmoid,2.491156878392619e-06,0.0015783399121838803,0.0012204287954341055
186,50,16,0.1,16,64,tanh,relu,2.4942305340335685e-06,0.0015793133109150853,0.0012666368454295497
400,50,32,0.01,64,64,sigmoid,sigmoid,2.497080227693033e-06,0.0015802152472663442,0.0012547385747001345
998,100,32,0.001,16,64,tanh,tanh,2.4984991587889676e-06,0.0015806641511684155,0.0014052667066997149
349,50,32,0.01,16,64,tanh,sigmoid,2.501420317262867e-06,0.0015815879100647132,0.0012535232484938055
859,100,16,0.01,32,64,sigmoid,sigmoid,2.502368326367177e-06,0.0015818875833532474,0.0013481344745506364
81,50,16,0.01,16,16,relu,relu,2.502404582728643e-06,0.001581899043153084,0.0013849855769208811
1000,100,32,0.001,32,16,relu,sigmoid,2.50301050685892e-06,0.0015820905495131812,0.0012298076207726658
777,100,16,0.001,32,64,sigmoid,relu,2.507423752095689e-06,0.0015834846864102251,0.0012068221282232688
338,50,32,0.01,16,32,sigmoid,tanh,2.509789031483525e-06,0.001584231369302958,0.001325987083746461
1317,100,64,0.01,16,64,sigmoid,relu,2.5181816746897284e-06,0.0015868779646493704,0.0012967543326505293
613,50,64,0.01,32,64,relu,sigmoid,2.522778299151947e-06,0.0015883256275562474,0.0011511389886194915
1357,100,64,0.01,64,16,tanh,sigmoid,2.526370978959453e-06,0.0015894561896949073,0.001224447429487381
622,50,64,0.01,64,16,relu,sigmoid,2.5319603594214954e-06,0.0015912134864377865,0.0012390663925965315
651,50,64,0.1,16,16,sigmoid,relu,2.5337271339572667e-06,0.0015917685553990778,0.0012414869861564915
763,100,16,0.001,32,16,tanh,sigmoid,2.5373566891557155e-06,0.001592908248819032,0.0012528435474538997
1074,100,32,0.01,16,64,sigmoid,relu,2.5389461177400216e-06,0.0015934070784768158,0.0013396222724087977
1104,100,32,0.01,32,64,tanh,relu,2.539482559784399e-06,0.0015935754013489286,0.0012659892324796357
640,50,64,0.01,64,64,relu,sigmoid,2.54661583184084e-06,0.0015958119663170972,0.001238777588131715
886,100,16,0.01,64,64,sigmoid,sigmoid,2.5473928973864494e-06,0.0015960554180185754,0.0013218141984102697
530,50,64,0.001,32,32,tanh,tanh,2.547957636719181e-06,0.0015962323254210776,0.001219159468457467
808,100,16,0.001,64,64,tanh,sigmoid,2.5525874929518845e-06,0.0015976819123191838,0.0013688611543928935
108,50,16,0.01,32,16,relu,relu,2.5529245233520306e-06,0.0015977873836502874,0.0011915951348569897
1335,100,64,0.01,32,32,sigmoid,relu,2.5552518220727604e-06,0.0015985155057342297,0.0013920120643676325
733,100,16,0.001,16,16,sigmoid,sigmoid,2.5568218189756303e-06,0.0015990065099853817,0.0012606020116700026
1310,100,64,0.01,16,32,sigmoid,tanh,2.563902912201073e-06,0.0016012191955510255,0.0012829273497566428
604,50,64,0.01,32,32,relu,sigmoid,2.5639784478949994e-06,0.0016012427823084792,0.0012428555496014771
1323,100,64,0.01,32,16,relu,relu,2.5663507923070858e-06,0.0016019833932681966,0.0012659831598698101
608,50,64,0.01,32,32,sigmoid,tanh,2.572595756690618e-06,0.0016039313441324782,0.00125050056907401
821,100,16,0.01,16,32,relu,tanh,2.5809785991891326e-06,0.0016065424361619374,0.0013282335297759573
409,50,32,0.1,16,16,sigmoid,sigmoid,2.582003081735725e-06,0.0016068612515509001,0.0013777943364226095
1103,100,32,0.01,32,64,sigmoid,tanh,2.583842560008859e-06,0.0016074335320655903,0.001206874392297072
159,50,16,0.01,64,64,tanh,relu,2.5864000530125115e-06,0.0016082288559196142,0.0012497040781101114
250,50,32,0.001,16,16,tanh,sigmoid,2.586921281871403e-06,0.0016083908983426272,0.0012542036838415242
889,100,16,0.01,64,64,tanh,sigmoid,2.5902123821225996e-06,0.001609413676505391,0.0012637087052387308
109,50,16,0.01,32,16,relu,sigmoid,2.5937537001577313e-06,0.0016105134895919783,0.0013992875754398047
580,50,64,0.01,16,32,sigmoid,sigmoid,2.5966894145073816e-06,0.0016114246536861044,0.0012807354756257312
100,50,16,0.01,16,64,relu,sigmoid,2.601659957308537e-06,0.001612966198439551,0.001366093396373145
520,50,64,0.001,32,16,tanh,sigmoid,2.60214215077233e-06,0.0016131156656521348,0.0013112251403979715
358,50,32,0.01,32,16,tanh,sigmoid,2.602153513281744e-06,0.0016131191875623277,0.0012589147702497044
538,50,64,0.001,32,64,tanh,sigmoid,2.6060312681676685e-06,0.0016143206831877204,0.0013641360228890662
378,50,32,0.01,64,16,relu,relu,2.6064449280980352e-06,0.0016144488000856625,0.0012394495731107
