,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1133,100,32,0.01,64,64,tanh,tanh,5.491253359497844e-06,0.002343342347907758,0.0020639217479567957
852,100,16,0.01,32,32,tanh,relu,5.493570581339671e-06,0.0023438367224146973,0.001999040285155991
1325,100,64,0.01,32,16,relu,tanh,5.4986508230029e-06,0.002344920216767065,0.0020215228480006554
1221,100,64,0.001,16,16,tanh,relu,5.501553212710396e-06,0.002345539002598421,0.0019682502317348196
388,50,32,0.01,64,32,relu,sigmoid,5.5125344018631985e-06,0.0023478787025447458,0.0021057879109069866
610,50,64,0.01,32,32,tanh,sigmoid,5.518023831016676e-06,0.002349047430559178,0.002153446070739094
1063,100,32,0.01,16,32,relu,sigmoid,5.521922773183639e-06,0.002349877182574366,0.0019940975475138474
1301,100,64,0.01,16,16,sigmoid,tanh,5.523793419176199e-06,0.0023502751794579712,0.0020482999957325276
396,50,32,0.01,64,64,relu,relu,5.527074809845835e-06,0.00235097316229808,0.00201638764957301
875,100,16,0.01,64,32,relu,tanh,5.537582458603546e-06,0.002353206845690269,0.001977322519718972
1123,100,32,0.01,64,32,tanh,sigmoid,5.551122386178958e-06,0.0023560819990354662,0.0020118530670115756
622,50,64,0.01,64,16,relu,sigmoid,5.559309507220544e-06,0.002357818802881287,0.0020756327814532463
292,50,32,0.001,32,64,sigmoid,sigmoid,5.5598121772803104e-06,0.0023579253968860655,0.0021575039398480764
637,50,64,0.01,64,32,tanh,sigmoid,5.566138894598425e-06,0.002359266601000918,0.0020741478030730713
58,50,16,0.001,64,16,sigmoid,sigmoid,5.580533418928481e-06,0.002362315266624775,0.002166129571919837
798,100,16,0.001,64,32,tanh,relu,5.605749761390144e-06,0.0023676464603884896,0.002014154427841663
83,50,16,0.01,16,16,relu,tanh,5.613981418961513e-06,0.002369384185597919,0.0019669944511334684
364,50,32,0.01,32,32,sigmoid,sigmoid,5.632333101563533e-06,0.002373253695154299,0.0021204374556854306
1350,100,64,0.01,64,16,relu,relu,5.642841300868958e-06,0.0023754665438328023,0.00215556545260984
1161,100,32,0.1,32,16,relu,relu,5.64752736201546e-06,0.002376452684573261,0.0021510703250876995
426,50,32,0.1,16,64,sigmoid,relu,5.6648684324292666e-06,0.002380098408139728,0.0021005396822494408
747,100,16,0.001,16,64,relu,relu,5.669275818128469e-06,0.002381024111202671,0.001934119801046654
1329,100,64,0.01,32,16,tanh,relu,5.67034106405298e-06,0.002381247795600655,0.001981421116144102
621,50,64,0.01,64,16,relu,relu,5.676275611117364e-06,0.0023824935700054607,0.0019554401534675058
372,50,32,0.01,32,64,sigmoid,relu,5.6804233346689705e-06,0.002383363869548452,0.0021116454734185436
346,50,32,0.01,16,64,sigmoid,sigmoid,5.6805682649949846e-06,0.002383394273928463,0.0021487617209543603
864,100,16,0.01,64,16,relu,relu,5.686616181516397e-06,0.0023846626976401497,0.0019350244187860085
1165,100,32,0.1,32,16,sigmoid,sigmoid,5.70352850219044e-06,0.0023882061264033387,0.001961921073793502
