,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1042,100,32,0.001,64,32,tanh,sigmoid,5.665750241924866e-06,0.0023802836473674448,0.001969226429503431
1278,100,64,0.001,64,32,relu,relu,5.674947891408248e-06,0.002382214912934651,0.001958637009233778
771,100,16,0.001,32,32,tanh,relu,5.70603405577888e-06,0.002388730636923904,0.002072684626891243
331,50,32,0.01,16,16,tanh,sigmoid,5.714450125699272e-06,0.0023904916075358374,0.0020941448430169445
760,100,16,0.001,32,16,sigmoid,sigmoid,5.7184548496588065e-06,0.0023913290968954498,0.0020134013267062
598,50,64,0.01,32,16,sigmoid,sigmoid,5.740207702525065e-06,0.0023958730564295483,0.0019958473763394234
1096,100,32,0.01,32,32,tanh,sigmoid,5.748800985139159e-06,0.002397665736740457,0.0020770152258873047
314,50,32,0.001,64,32,tanh,tanh,5.766837585319756e-06,0.002401424074444111,0.0019828520805898983
1443,100,64,0.1,64,32,sigmoid,relu,5.777604501571797e-06,0.002403664806409537,0.0017663984963113037
1373,100,64,0.01,64,64,sigmoid,tanh,5.807930377739471e-06,0.0024099648084027017,0.001964191625283573
381,50,32,0.01,64,16,sigmoid,relu,5.8189034671708705e-06,0.0024122403419167982,0.00205248740575483
574,50,64,0.01,16,16,tanh,sigmoid,5.829335392589422e-06,0.002414401663474705,0.0020855528973657543
258,50,32,0.001,16,32,tanh,relu,5.85260298018968e-06,0.0024192153645737455,0.0018298071830232653
1266,100,64,0.001,32,64,tanh,relu,5.8739657666665215e-06,0.002423626573271246,0.0019115643280651822
321,50,32,0.001,64,64,tanh,relu,5.910265775485292e-06,0.0024311038183272415,0.0020230501295853253
296,50,32,0.001,32,64,tanh,tanh,5.955180235493595e-06,0.0024403237972641244,0.0019604358062594958
400,50,32,0.01,64,64,sigmoid,sigmoid,5.999855861643278e-06,0.0024494603204876127,0.0020314269447912507
631,50,64,0.01,64,32,relu,sigmoid,6.00204856732601e-06,0.002449907869150595,0.001987059268733766
1280,100,64,0.001,64,32,relu,tanh,6.002995236923328e-06,0.0024501010666752765,0.0018935690133009215
596,50,64,0.01,32,16,relu,tanh,6.020323314751051e-06,0.002453634715019954,0.0019460891501120495
1364,100,64,0.01,64,32,sigmoid,tanh,6.036842241080409e-06,0.002456998624558103,0.0020061865628894565
269,50,32,0.001,16,64,tanh,tanh,6.059280512884737e-06,0.0024615605848495254,0.0019183669898514832
394,50,32,0.01,64,32,tanh,sigmoid,6.067832653468917e-06,0.00246329711027089,0.002038891248358384
1184,100,32,0.1,32,64,sigmoid,tanh,6.083908396293191e-06,0.0024665580058642837,0.002141965362721381
1391,100,64,0.1,16,32,sigmoid,tanh,6.087922552095054e-06,0.002467371587761976,0.0022322850464705454
1341,100,64,0.01,32,64,relu,relu,6.097470602646878e-06,0.0024693056924258846,0.0021726690748106324
54,50,16,0.001,64,16,relu,relu,6.1208570985069375e-06,0.0024740366000742466,0.001970429974466368
1027,100,32,0.001,64,16,relu,sigmoid,6.132435253060166e-06,0.002476375426517588,0.0020328385359308122
573,50,64,0.01,16,16,tanh,relu,6.148705898331566e-06,0.0024796584237212122,0.0020635103543532643
328,50,32,0.01,16,16,sigmoid,sigmoid,6.158811548264591e-06,0.002481695297224176,0.0020718974056045635
1453,100,64,0.1,64,64,sigmoid,sigmoid,6.161813464677154e-06,0.002482300035184537,0.0020092153335376723
757,100,16,0.001,32,16,relu,sigmoid,6.179307824784868e-06,0.002485821358180203,0.0020029171584286447
59,50,16,0.001,64,16,sigmoid,tanh,6.198206172424361e-06,0.0024896196842940413,0.0020502019628427697
100,50,16,0.01,16,64,relu,sigmoid,6.240424148663779e-06,0.002498084095594818,0.0021720267195898886
940,100,16,0.1,32,64,sigmoid,sigmoid,6.259515149497549e-06,0.0025019023061457753,0.0022533874925694253
988,100,32,0.001,16,32,tanh,sigmoid,6.265448934648567e-06,0.002503087879929222,0.002013511783467097
43,50,16,0.001,32,32,tanh,sigmoid,6.273044845687389e-06,0.00250460472843269,0.0021548829917536557
880,100,16,0.01,64,32,tanh,sigmoid,6.304492247124005e-06,0.0025108747971820506,0.0021461286573146864
624,50,64,0.01,64,16,sigmoid,relu,6.313765385611179e-06,0.0025127207138102674,0.002102133353552201
1289,100,64,0.001,64,64,relu,tanh,6.321385038075806e-06,0.0025142364721870945,0.0021124189309832254
938,100,16,0.1,32,64,relu,tanh,6.335520554469221e-06,0.002517045997686419,0.0024386965931267155
46,50,16,0.001,32,64,relu,sigmoid,6.337921688631803e-06,0.002517522927131311,0.0021766035908981555
1346,100,64,0.01,32,64,sigmoid,tanh,6.349146362692108e-06,0.0025197512501618307,0.002074921405214683
506,50,64,0.001,16,64,relu,tanh,6.394610206722314e-06,0.002528756652333774,0.001932983831332408
303,50,32,0.001,64,16,tanh,relu,6.400519719407914e-06,0.0025299248446165185,0.001969890760414756
1345,100,64,0.01,32,64,sigmoid,sigmoid,6.411707992287925e-06,0.0025321350659646743,0.002087232216031214
278,50,32,0.001,32,16,tanh,tanh,6.448139591250359e-06,0.002539318725810204,0.0019558877925029004
1336,100,64,0.01,32,32,sigmoid,sigmoid,6.462817245472845e-06,0.0025422071602198048,0.0021126849525015946
753,100,16,0.001,16,64,tanh,relu,6.471561826511137e-06,0.002543926458550077,0.002178770480742225
349,50,32,0.01,16,64,tanh,sigmoid,6.472466754096751e-06,0.0025441043127389157,0.002257658496962322
294,50,32,0.001,32,64,tanh,relu,6.482146487249202e-06,0.002546005987276778,0.002010032915975935
1223,100,64,0.001,16,16,tanh,tanh,6.530515130745852e-06,0.0025554872589676225,0.0021881141395905727
634,50,64,0.01,64,32,sigmoid,sigmoid,6.531919245595343e-06,0.0025557619696668435,0.002167141494643433
932,100,16,0.1,32,32,sigmoid,tanh,6.555717720988529e-06,0.0025604135839720366,0.0023672995838294715
756,100,16,0.001,32,16,relu,relu,6.560608250060041e-06,0.0025613684330958795,0.0022200412036797383
1164,100,32,0.1,32,16,sigmoid,relu,6.562858714380614e-06,0.002561807704411206,0.00237139400198184
336,50,32,0.01,16,32,sigmoid,relu,6.563717170746038e-06,0.0025619752478792685,0.00212377027157995
56,50,16,0.001,64,16,relu,tanh,6.5656758604097486e-06,0.002562357480994748,0.0018704672998299326
923,100,16,0.1,32,16,sigmoid,tanh,6.581132683170542e-06,0.002565371841112033,0.002126067107152651
1252,100,64,0.001,32,32,relu,sigmoid,6.5844858409519385e-06,0.0025660253001387064,0.002203040173255788
1217,100,64,0.001,16,16,relu,tanh,6.590331559259819e-06,0.002567164108361563,0.0019139685553682517
1049,100,32,0.001,64,64,sigmoid,tanh,6.592985538610439e-06,0.0025676809651143263,0.0021243281938839297
323,50,32,0.001,64,64,tanh,tanh,6.593280807020841e-06,0.002567738461569021,0.0021063362043886855
1250,100,64,0.001,32,16,tanh,tanh,6.607668151771874e-06,0.0025705384945127496,0.0019531869801222425
