,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
949,100,16,0.1,64,16,sigmoid,sigmoid,4.898924469455129e-06,0.002213351411198667,0.0019512373026309632
1067,100,32,0.01,16,32,sigmoid,tanh,4.909799157434427e-06,0.0022158066606620774,0.0019737402074472034
870,100,16,0.01,64,16,tanh,relu,4.922510961638539e-06,0.0022186732435486166,0.001709993577870422
736,100,16,0.001,16,16,tanh,sigmoid,4.926888184040609e-06,0.002219659474793512,0.001823595985384604
1150,100,32,0.1,16,32,tanh,sigmoid,4.940655686697839e-06,0.0022227585758911915,0.0018101268532632199
1266,100,64,0.001,32,64,tanh,relu,4.943954044138866e-06,0.0022235004034492248,0.001853001107648831
866,100,16,0.01,64,16,relu,tanh,4.973315567190919e-06,0.002230093174553682,0.0018021362029896155
1346,100,64,0.01,32,64,sigmoid,tanh,5.015757744276422e-06,0.002239588744452075,0.001943024177405024
228,50,16,0.1,64,32,sigmoid,relu,5.016162026791558e-06,0.002239679000837298,0.0020923023259329858
329,50,32,0.01,16,16,sigmoid,tanh,5.021963561211099e-06,0.0022409737975289,0.001914941326664018
109,50,16,0.01,32,16,relu,sigmoid,5.034808118478964e-06,0.0022438378101990713,0.0019397653270587898
75,50,16,0.001,64,64,sigmoid,relu,5.040458956307156e-06,0.0022450966474312764,0.0017606107933636676
1392,100,64,0.1,16,32,tanh,relu,5.0510692503263566e-06,0.002247458397907814,0.0018496614098932982
931,100,16,0.1,32,32,sigmoid,sigmoid,5.058622652546174e-06,0.0022491382021890462,0.001707776143937863
436,50,32,0.1,32,16,sigmoid,sigmoid,5.064766253396892e-06,0.002250503555517496,0.0018457378527357415
471,50,32,0.1,64,32,sigmoid,relu,5.080234393608989e-06,0.002253937530990819,0.0019576999484353145
921,100,16,0.1,32,16,sigmoid,relu,5.094724042516809e-06,0.0022571495392456407,0.0018539740235215083
801,100,16,0.001,64,64,relu,relu,5.098971527914724e-06,0.0022580902390991206,0.0018570618393806378
900,100,16,0.1,16,32,relu,relu,5.1250962544490905e-06,0.0022638675434859456,0.0015433051595109307
1341,100,64,0.01,32,64,relu,relu,5.157106749847039e-06,0.0022709264078448334,0.0018971691229906255
1034,100,32,0.001,64,16,tanh,tanh,5.158660227876664e-06,0.002271268418280117,0.0018824000998520002
768,100,16,0.001,32,32,sigmoid,relu,5.188194498559686e-06,0.0022777608519244695,0.0018470132524240081
733,100,16,0.001,16,16,sigmoid,sigmoid,5.190374213700013e-06,0.0022782392792900425,0.0017677160835425656
1006,100,32,0.001,32,16,tanh,sigmoid,5.201991503188336e-06,0.002280787474357998,0.0018404561400653288
1038,100,32,0.001,64,32,sigmoid,relu,5.22978188900213e-06,0.0022868716380685054,0.0017689797435855956
918,100,16,0.1,32,16,relu,relu,5.249469937559325e-06,0.0022911721754506633,0.0017627372016723766
45,50,16,0.001,32,64,relu,relu,5.253650363076224e-06,0.0022920842835891147,0.0019152947015527119
846,100,16,0.01,32,32,relu,relu,5.25905218761879e-06,0.002293262346008147,0.001977536826075864
760,100,16,0.001,32,16,sigmoid,sigmoid,5.260227530921485e-06,0.002293518591797652,0.0018288767438473857
372,50,32,0.01,32,64,sigmoid,relu,5.2654246480306525e-06,0.002294651312951633,0.0020412683241173386
69,50,16,0.001,64,32,tanh,relu,5.2679799961060986e-06,0.002295208050723528,0.0019344554797212788
1030,100,32,0.001,64,16,sigmoid,sigmoid,5.2860552074248725e-06,0.002299142276464176,0.0019272622578644226
325,50,32,0.01,16,16,relu,sigmoid,5.293615480914661e-06,0.002300785839863124,0.0017037717972017625
468,50,32,0.1,64,32,relu,relu,5.305371144344594e-06,0.0023033391292522675,0.0017900045518826455
58,50,16,0.001,64,16,sigmoid,sigmoid,5.3184305135890765e-06,0.0023061722645086762,0.0018898880851173205
1339,100,64,0.01,32,32,tanh,sigmoid,5.323065551305284e-06,0.0023071769657538807,0.0019302383446858592
1114,100,32,0.01,64,16,tanh,sigmoid,5.325832638057898e-06,0.002307776557220802,0.0020346576604703764
387,50,32,0.01,64,32,relu,relu,5.362383514436829e-06,0.0023156820840600787,0.0019420134112967246
67,50,16,0.001,64,32,sigmoid,sigmoid,5.381038773862021e-06,0.0023197066137470965,0.0018612290375506128
1022,100,32,0.001,32,64,sigmoid,tanh,5.384546049222781e-06,0.002320462464514947,0.0019557900006795174
872,100,16,0.01,64,16,tanh,tanh,5.395063972006378e-06,0.00232272770078767,0.0019010830513258243
1366,100,64,0.01,64,32,tanh,sigmoid,5.395509779952207e-06,0.002322823665272981,0.0019829904406948365
781,100,16,0.001,32,64,tanh,sigmoid,5.40125655585392e-06,0.0023240603597699263,0.001912391770648831
751,100,16,0.001,16,64,sigmoid,sigmoid,5.402193007669969e-06,0.0023242618199484258,0.0019241055944796898
319,50,32,0.001,64,64,sigmoid,sigmoid,5.408481206929619e-06,0.0023256141569335228,0.001959761846525755
104,50,16,0.01,16,64,sigmoid,tanh,5.417038491662583e-06,0.0023274532200803916,0.002076589649288696
579,50,64,0.01,16,32,sigmoid,relu,5.427369136264451e-06,0.0023296714653067395,0.001971636266390669
1156,100,32,0.1,16,64,sigmoid,sigmoid,5.436215191348548e-06,0.0023315692551044986,0.0019026210605173936
755,100,16,0.001,16,64,tanh,tanh,5.4371759931399526e-06,0.0023317752878740166,0.0019579029344199634
