,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1276,100,64,0.001,64,16,tanh,sigmoid,1.3287406705450305e-05,0.003645189529427833,0.0033477892337232915
1247,100,64,0.001,32,16,sigmoid,tanh,1.3295115818334978e-05,0.003646246812591679,0.0032936797340014138
726,50,64,0.1,64,64,tanh,relu,1.3306568988044019e-05,0.0036478170167984054,0.0030227815785492844
523,50,64,0.001,32,32,relu,sigmoid,1.3312977299827876e-05,0.0036486952873359918,0.003232068716615208
476,50,32,0.1,64,32,tanh,tanh,1.3336011518854646e-05,0.0036518504239432706,0.003303025850657246
1256,100,64,0.001,32,32,sigmoid,tanh,1.338230022717682e-05,0.0036581826399425194,0.003293801583422981
1258,100,64,0.001,32,32,tanh,sigmoid,1.3384319382275234e-05,0.0036584586074295323,0.0033618726731445064
51,50,16,0.001,32,64,tanh,relu,1.3419110307319104e-05,0.0036632103826178346,0.0032243748104538715
1265,100,64,0.001,32,64,sigmoid,tanh,1.3435993865910651e-05,0.0036655141339122744,0.003348943246636183
587,50,64,0.01,16,64,relu,tanh,1.3449010747771067e-05,0.0036672892915300625,0.0031985834025667734
15,50,16,0.001,16,32,tanh,relu,1.3461395071340643e-05,0.003668977387684563,0.003198322021967271
301,50,32,0.001,64,16,sigmoid,sigmoid,1.3497049386306535e-05,0.003673833064567106,0.003402238315696435
639,50,64,0.01,64,64,relu,relu,1.3520146144688034e-05,0.003676975135174024,0.0031636936394782204
323,50,32,0.001,64,64,tanh,tanh,1.352890028542093e-05,0.0036781653423168634,0.0033520547152781173
44,50,16,0.001,32,32,tanh,tanh,1.3548459683931295e-05,0.003680823234540243,0.003269820524256873
65,50,16,0.001,64,32,relu,tanh,1.3548529980036654e-05,0.003680832783492977,0.003200582828973484
1194,100,32,0.1,64,16,tanh,relu,1.3560211367685147e-05,0.0036824192275846522,0.0032530010535192317
33,50,16,0.001,32,16,tanh,relu,1.3592472819165174e-05,0.003686797094927408,0.0032333957013457896
1173,100,32,0.1,32,32,sigmoid,relu,1.3593358998597002e-05,0.0036869172758006116,0.0033706180727302412
647,50,64,0.01,64,64,tanh,tanh,1.3731251733145767e-05,0.003705570365429021,0.0033553224715621457
315,50,32,0.001,64,64,relu,relu,1.3831865926487021e-05,0.003719121660619214,0.0032844735967119507
508,50,64,0.001,16,64,sigmoid,sigmoid,1.3858809044876901e-05,0.003722742140529868,0.0034312433068986194
294,50,32,0.001,32,64,tanh,relu,1.3876084045501941e-05,0.003725061616336291,0.0031247247400169476
1255,100,64,0.001,32,32,sigmoid,sigmoid,1.388189353444066e-05,0.0037258413190097966,0.003438695379258952
526,50,64,0.001,32,32,sigmoid,sigmoid,1.3930091057485518e-05,0.003732303719887426,0.003462658048241838
283,50,32,0.001,32,32,sigmoid,sigmoid,1.3932928477224375e-05,0.0037326838169371344,0.0034575133800264658
1236,100,64,0.001,16,64,sigmoid,relu,1.3956517667074273e-05,0.003735842296868843,0.0033128560397303487
18,50,16,0.001,16,64,relu,relu,1.399150317536732e-05,0.003740521778491247,0.0033243453934473873
60,50,16,0.001,64,16,tanh,relu,1.4001921062418838e-05,0.00374191409073202,0.003379964507455296
596,50,64,0.01,32,16,relu,tanh,1.4030696701671441e-05,0.0037457571599973536,0.003327326179018474
61,50,16,0.001,64,16,tanh,sigmoid,1.4061527495539717e-05,0.0037498703304967382,0.003449556922192659
272,50,32,0.001,32,16,relu,tanh,1.4084122985731389e-05,0.003752881957340437,0.0033049365791283417
1443,100,64,0.1,64,32,sigmoid,relu,1.4091811704879095e-05,0.0037539061928715126,0.0034741330888445887
624,50,64,0.01,64,16,sigmoid,relu,1.4095901613105506e-05,0.0037544509070043127,0.003424355951957134
1244,100,64,0.001,32,16,relu,tanh,1.4096602741572567e-05,0.0037545442788136842,0.0032275538109715306
195,50,16,0.1,32,16,tanh,relu,1.4138072095303803e-05,0.0037600627781067437,0.003203627459708992
891,100,16,0.1,16,16,relu,relu,1.4169017977736363e-05,0.0037641756039983524,0.0031771691329837777
495,50,64,0.001,16,32,relu,relu,1.424688755090184e-05,0.0037745049411680256,0.0033249477876096207
1146,100,32,0.1,16,32,sigmoid,relu,1.4299310567010358e-05,0.0037814429212947743,0.003456290678622631
644,50,64,0.01,64,64,sigmoid,tanh,1.4318747561847871e-05,0.003784012098533496,0.003448182357200279
606,50,64,0.01,32,32,sigmoid,relu,1.4319186650484802e-05,0.0037840701170148527,0.003397996920655204
295,50,32,0.001,32,64,tanh,sigmoid,1.4341880457784658e-05,0.003787067527492038,0.003423454370332897
1271,100,64,0.001,64,16,relu,tanh,1.4351040764831345e-05,0.003788276753991364,0.0032862313338946456
514,50,64,0.001,32,16,relu,sigmoid,1.441496526574028e-05,0.003796704527052412,0.003315780483678754
1253,100,64,0.001,32,32,relu,tanh,1.4423597601915936e-05,0.0037978411764996093,0.0033803802817392735
8,50,16,0.001,16,16,tanh,tanh,1.4444756721753192e-05,0.0038006258329061006,0.003192528810639303
475,50,32,0.1,64,32,tanh,sigmoid,1.445381009827348e-05,0.003801816683938546,0.003079409232181008
969,100,16,0.1,64,64,tanh,relu,1.4563352068868384e-05,0.0038161960207605144,0.0034664256647419546
1275,100,64,0.001,64,16,tanh,relu,1.4565852731231716e-05,0.0038165236447887645,0.0034143935762132233
972,100,32,0.001,16,16,relu,relu,1.4583623221636864e-05,0.0038188510342296493,0.0033617436816234477
281,50,32,0.001,32,32,relu,tanh,1.458552911433684e-05,0.003819100563527601,0.003277807921549916
1269,100,64,0.001,64,16,relu,relu,1.4686713655352768e-05,0.0038323248368781013,0.003351859955719772
488,50,64,0.001,16,16,relu,tanh,1.478289215587398e-05,0.0038448526832473022,0.0034478398111222933
1267,100,64,0.001,32,64,tanh,sigmoid,1.4862458222106876e-05,0.0038551858868421476,0.0035574987098650505
405,50,32,0.1,16,16,relu,relu,1.4880141983109977e-05,0.003857478708056595,0.003488843355926112
273,50,32,0.001,32,16,sigmoid,relu,1.4972515150119848e-05,0.0038694334404560894,0.003536264944556857
1452,100,64,0.1,64,64,sigmoid,relu,1.497993935594507e-05,0.0038703926617263355,0.003398910531078499
562,50,64,0.001,64,64,sigmoid,sigmoid,1.5031656366582283e-05,0.003877068011601329,0.0035777486148282525
5,50,16,0.001,16,16,sigmoid,tanh,1.5083606599433982e-05,0.003883761913330165,0.003556268042273342
1288,100,64,0.001,64,64,relu,sigmoid,1.5085552553445116e-05,0.003884012429620317,0.003534811961047319
984,100,32,0.001,16,32,sigmoid,relu,1.519289372506962e-05,0.0038978062708489784,0.0035550363192701846
570,50,64,0.01,16,16,sigmoid,relu,1.5264719196020532e-05,0.003907008983355494,0.003538411044240966
1229,100,64,0.001,16,32,sigmoid,tanh,1.5344971773201504e-05,0.003917265854291933,0.0035485895913839184
293,50,32,0.001,32,64,sigmoid,tanh,1.5350655686666973e-05,0.003917991282107066,0.0035680089164444677
535,50,64,0.001,32,64,sigmoid,sigmoid,1.5354414901556026e-05,0.003918470990265977,0.0036058116440746
306,50,32,0.001,64,32,relu,relu,1.5475594070572706e-05,0.003933903159785801,0.003521647163326002
1270,100,64,0.001,64,16,relu,sigmoid,1.5507606314502923e-05,0.0039379698214312055,0.0035505504880435357
1260,100,64,0.001,32,64,relu,relu,1.5522278272497206e-05,0.003939832264512946,0.003506632937744389
951,100,16,0.1,64,16,tanh,relu,1.553260121028659e-05,0.003941142120031525,0.0034531067480323033
250,50,32,0.001,16,16,tanh,sigmoid,1.555458622028762e-05,0.003943930301144738,0.0035212149506471087
1195,100,32,0.1,64,16,tanh,sigmoid,1.557132468789753e-05,0.003946051784746055,0.003166718333057551
