,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
574,50,64,0.01,16,16,tanh,sigmoid,3.3072994844652272e-06,0.0018185982196365494,0.0014518102538181987
1069,100,32,0.01,16,32,tanh,sigmoid,3.308477285285579e-06,0.0018189220118755996,0.0014798697906834085
839,100,16,0.01,32,16,relu,tanh,3.308801448935746e-06,0.0018190111184200458,0.001538605051957204
1085,100,32,0.01,32,16,sigmoid,tanh,3.3110576021236987e-06,0.0018196311720026393,0.0015025724231653207
621,50,64,0.01,64,16,relu,relu,3.315773392994458e-06,0.001820926520481938,0.0014959319485632339
1097,100,32,0.01,32,32,tanh,tanh,3.316793671371457e-06,0.001821206652571711,0.0014510699548926848
1073,100,32,0.01,16,64,relu,tanh,3.317475803094127e-06,0.0018213939176065475,0.0015638921452188505
855,100,16,0.01,32,64,relu,relu,3.3287688101732283e-06,0.0018244913839679344,0.001547731473522877
755,100,16,0.001,16,64,tanh,tanh,3.329487333298121e-06,0.001824688283871555,0.0014489240857348408
1086,100,32,0.01,32,16,tanh,relu,3.3301496611991312e-06,0.00182486976554469,0.0014676814450199107
560,50,64,0.001,64,64,relu,tanh,3.3308218172663235e-06,0.0018250539217421285,0.0014256354172658475
390,50,32,0.01,64,32,sigmoid,relu,3.3319839890570835e-06,0.0018253722877969534,0.0015143060690557674
445,50,32,0.1,32,32,sigmoid,sigmoid,3.3329090440914407e-06,0.0018256256582584068,0.0013147019134953448
442,50,32,0.1,32,32,relu,sigmoid,3.3338375820114078e-06,0.0018258799473161995,0.0014105499005560452
826,100,16,0.01,16,32,tanh,sigmoid,3.3365468469138457e-06,0.0018266217032855614,0.0015517309922592482
1408,100,64,0.1,32,16,sigmoid,sigmoid,3.342670108158957e-06,0.0018282970514002796,0.0014859655137207397
1096,100,32,0.01,32,32,tanh,sigmoid,3.3552978910799594e-06,0.0018317472235764298,0.0014744774064070585
861,100,16,0.01,32,64,tanh,relu,3.3652994800817726e-06,0.0018344752601443751,0.001611938820620008
299,50,32,0.001,64,16,relu,tanh,3.3680616422826727e-06,0.0018352279537656004,0.001448808286543658
1133,100,32,0.01,64,64,tanh,tanh,3.3853937796742287e-06,0.001839943961014636,0.001554283691308143
1293,100,64,0.001,64,64,tanh,relu,3.38614179086566e-06,0.0018401472198891207,0.0013520781625748382
603,50,64,0.01,32,32,relu,relu,3.3899268084891414e-06,0.0018411753877589016,0.0014335686700748058
374,50,32,0.01,32,64,sigmoid,tanh,3.3902633776090163e-06,0.0018412667861038,0.001488837147169867
306,50,32,0.001,64,32,relu,relu,3.3903272725933875e-06,0.001841284136844009,0.0014715401281622641
168,50,16,0.1,16,16,tanh,relu,3.3963336783873566e-06,0.0018429144522704674,0.0015703965514004838
1088,100,32,0.01,32,16,tanh,tanh,3.3996606703947297e-06,0.0018438168755043787,0.0015180191261192054
998,100,32,0.001,16,64,tanh,tanh,3.3997239049934135e-06,0.0018438340231684124,0.0015049625487750602
594,50,64,0.01,32,16,relu,relu,3.408291473852207e-06,0.001846155863910793,0.001548084092841404
1101,100,32,0.01,32,64,sigmoid,relu,3.4087739819171934e-06,0.00184628653841087,0.0014480454222195894
564,50,64,0.001,64,64,tanh,relu,3.411320324177431e-06,0.0018469759944778467,0.0015711819345003333
1038,100,32,0.001,64,32,sigmoid,relu,3.4203250875554657e-06,0.0018494120924108465,0.001568003861540927
1235,100,64,0.001,16,64,relu,tanh,3.4235707828615306e-06,0.001850289378141033,0.001372440730597106
746,100,16,0.001,16,32,tanh,tanh,3.424735948699205e-06,0.0018506042117911665,0.0014519802402705136
890,100,16,0.01,64,64,tanh,tanh,3.4325176844918872e-06,0.0018527055039838057,0.0015569026529037337
39,50,16,0.001,32,32,sigmoid,relu,3.436176621042586e-06,0.001853692698653848,0.0015289553835583455
1306,100,64,0.01,16,32,relu,sigmoid,3.4390216111096588e-06,0.0018544599243741178,0.0015114959659467964
742,100,16,0.001,16,32,sigmoid,sigmoid,3.4430518183058374e-06,0.0018555462317888598,0.0014970785645298814
11,50,16,0.001,16,32,relu,tanh,3.451825139825446e-06,0.0018579088082641315,0.0014484710410684403
98,50,16,0.01,16,32,tanh,tanh,3.4519821072342916e-06,0.0018579510508176182,0.0014685127165359867
865,100,16,0.01,64,16,relu,sigmoid,3.45701382400969e-06,0.001859304661428484,0.0015712727089442755
1093,100,32,0.01,32,32,sigmoid,sigmoid,3.461234556107013e-06,0.0018604393449148007,0.001480271946646316
1280,100,64,0.001,64,32,relu,tanh,3.4663341734838895e-06,0.00186180938161883,0.0014738227068030595
90,50,16,0.01,16,32,relu,relu,3.4665721941737867e-06,0.0018618733023956777,0.0015204094149084534
800,100,16,0.001,64,32,tanh,tanh,3.470374845232379e-06,0.001862894212034698,0.0014934376328206928
400,50,32,0.01,64,64,sigmoid,sigmoid,3.4728894568414625e-06,0.001863569010485381,0.0015718767413028124
89,50,16,0.01,16,16,tanh,tanh,3.4806055403647743e-06,0.0018656381054118654,0.0014716173820162157
854,100,16,0.01,32,32,tanh,tanh,3.4814177322843026e-06,0.0018658557640622445,0.0015775424512994996
178,50,16,0.1,16,32,tanh,sigmoid,3.4903950946984577e-06,0.0018682599109059901,0.0014891193195522158
773,100,16,0.001,32,32,tanh,tanh,3.4905220579031965e-06,0.001868293889596387,0.0016707097016550791
385,50,32,0.01,64,16,tanh,sigmoid,3.4974779173199407e-06,0.0018701545169637563,0.001531462392337547
885,100,16,0.01,64,64,sigmoid,relu,3.5051947171999452e-06,0.0018722165251914495,0.0015734682196476895
781,100,16,0.001,32,64,tanh,sigmoid,3.5057147604460784e-06,0.0018723554044160736,0.001534980881117394
15,50,16,0.001,16,32,tanh,relu,3.510815653542157e-06,0.0018737170687011839,0.0014859936388790965
