,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1238,100,64,0.001,16,64,sigmoid,tanh,1.6635762537035084e-05,0.004078696181016072,0.0034093659574659205
641,50,64,0.01,64,64,relu,tanh,1.6653685214871864e-05,0.004080892698279614,0.003647561480441305
1265,100,64,0.001,32,64,sigmoid,tanh,1.668005230874388e-05,0.004084121975252928,0.003411787331590817
1252,100,64,0.001,32,32,relu,sigmoid,1.6696945415414003e-05,0.004086189596116901,0.0032747608040915323
523,50,64,0.001,32,32,relu,sigmoid,1.6714683349031216e-05,0.004088359493614917,0.003552592376689343
293,50,32,0.001,32,64,sigmoid,tanh,1.672252160192098e-05,0.00408931798738139,0.0034824298373565725
511,50,64,0.001,16,64,tanh,sigmoid,1.6730643276381426e-05,0.004090310902166414,0.0035761982298530295
995,100,32,0.001,16,64,sigmoid,tanh,1.674806120543715e-05,0.004092439517627249,0.003617334655296818
16,50,16,0.001,16,32,tanh,sigmoid,1.6797010446487017e-05,0.0040984156019719395,0.003414528105029986
62,50,16,0.001,64,16,tanh,tanh,1.6824651302998984e-05,0.00410178635511395,0.0034755517353374666
248,50,32,0.001,16,16,sigmoid,tanh,1.6835064817201337e-05,0.00410305554644357,0.0035872058822141437
283,50,32,0.001,32,32,sigmoid,sigmoid,1.6871892462152965e-05,0.004107540926412415,0.003561824364330685
991,100,32,0.001,16,64,relu,sigmoid,1.6909831184124997e-05,0.004112156512600778,0.003420589043883861
3,50,16,0.001,16,16,sigmoid,relu,1.6934444020396993e-05,0.004115148116459114,0.0035611724381183958
970,100,16,0.1,64,64,tanh,sigmoid,1.6944973187418827e-05,0.004116427235773617,0.0031164330661545437
532,50,64,0.001,32,64,relu,sigmoid,1.697783234748189e-05,0.004120416525969418,0.003655202297960511
322,50,32,0.001,64,64,tanh,sigmoid,1.7003873743641877e-05,0.00412357535927766,0.003525719085310852
708,50,64,0.1,64,16,tanh,relu,1.7027340721595196e-05,0.004126419843107969,0.0034404259938129044
27,50,16,0.001,32,16,relu,relu,1.7032694030030276e-05,0.00412706845473034,0.0035036002924349247
577,50,64,0.01,16,32,relu,sigmoid,1.704929298359401e-05,0.004129078951000333,0.0034305166344226878
291,50,32,0.001,32,64,sigmoid,relu,1.709317589556436e-05,0.004134389422340905,0.003596966414130962
271,50,32,0.001,32,16,relu,sigmoid,1.710583430847959e-05,0.004135920007504931,0.0035310256073793947
958,100,16,0.1,64,32,sigmoid,sigmoid,1.713766635329131e-05,0.004139766461201805,0.0033677195658798993
464,50,32,0.1,64,16,sigmoid,tanh,1.718351395673017e-05,0.004145300225162247,0.003446039423750566
265,50,32,0.001,16,64,sigmoid,sigmoid,1.7204935691674963e-05,0.004147883278453598,0.0036310224599978595
1011,100,32,0.001,32,32,sigmoid,relu,1.722903636390561e-05,0.004150787439017519,0.0034769452832784124
278,50,32,0.001,32,16,tanh,tanh,1.7311355261119822e-05,0.0041606916806127105,0.003460503678758362
574,50,64,0.01,16,16,tanh,sigmoid,1.7330904510030374e-05,0.004163040296469682,0.0036394241279749974
282,50,32,0.001,32,32,sigmoid,relu,1.7352301721711166e-05,0.004165609405802609,0.0035465896155849365
1247,100,64,0.001,32,16,sigmoid,tanh,1.736994764165387e-05,0.004167726915436504,0.0036529898808468062
645,50,64,0.01,64,64,tanh,relu,1.7383969128732315e-05,0.004169408726514146,0.0034609000797361537
65,50,16,0.001,64,32,relu,tanh,1.742688711892105e-05,0.004174552325569899,0.003489487735223637
540,50,64,0.001,64,16,relu,relu,1.7480945111394266e-05,0.004181022017568703,0.0034986248225798216
216,50,16,0.1,64,16,relu,relu,1.7532969488485363e-05,0.004187238886006549,0.0034861620614285702
257,50,32,0.001,16,32,sigmoid,tanh,1.7557867767881035e-05,0.004190210945511101,0.003613850886648311
301,50,32,0.001,64,16,sigmoid,sigmoid,1.7569921227716283e-05,0.004191648986701569,0.0036168479226643293
1227,100,64,0.001,16,32,sigmoid,relu,1.7593241966568847e-05,0.004194429873840883,0.0035720172679610178
18,50,16,0.001,16,64,relu,relu,1.7645443415855203e-05,0.004200647975712224,0.0034635938367634763
978,100,32,0.001,16,16,tanh,relu,1.7650684895107e-05,0.004201271818760005,0.0035556743082681926
553,50,64,0.001,64,32,sigmoid,sigmoid,1.7654597960245122e-05,0.00420173749301942,0.0035869652917746215
678,50,64,0.1,32,16,sigmoid,relu,1.7668263557973552e-05,0.004203363362591147,0.0034733944454003822
585,50,64,0.01,16,64,relu,relu,1.7694868054130496e-05,0.00420652683982053,0.0035780074219587325
1241,100,64,0.001,16,64,tanh,tanh,1.7733082694590607e-05,0.004211066693201451,0.0034152005611638157
1043,100,32,0.001,64,32,tanh,tanh,1.7782650139708335e-05,0.004216947965022611,0.0035429983684599244
21,50,16,0.001,16,64,sigmoid,relu,1.7831184819343666e-05,0.004222698760193967,0.00359947628378376
309,50,32,0.001,64,32,sigmoid,relu,1.783690719187144e-05,0.004223376278745648,0.0035440861217739743
52,50,16,0.001,32,64,tanh,sigmoid,1.792790390689613e-05,0.0042341355560369266,0.0036287328098976845
576,50,64,0.01,16,32,relu,relu,1.8024160323101e-05,0.004245487053696077,0.003521503338213815
1146,100,32,0.1,16,32,sigmoid,relu,1.805608828766676e-05,0.004249245613949229,0.0035497719992023187
311,50,32,0.001,64,32,sigmoid,tanh,1.806592044570752e-05,0.004250402386328561,0.0035772137091686796
1014,100,32,0.001,32,32,tanh,relu,1.812420542756104e-05,0.004257253272658445,0.0032460534967515262
1026,100,32,0.001,64,16,relu,relu,1.8183134274935482e-05,0.00426416864991706,0.0035044784525993847
321,50,32,0.001,64,64,tanh,relu,1.822458802320007e-05,0.004269026589657186,0.003717716284909269
323,50,32,0.001,64,64,tanh,tanh,1.823437262397504e-05,0.004270172434922862,0.0036586530886153104
254,50,32,0.001,16,32,relu,tanh,1.824303238949792e-05,0.004271186297680999,0.0035826298205365965
502,50,64,0.001,16,32,tanh,sigmoid,1.8268105393305342e-05,0.0042741204233509075,0.003817005129931183
950,100,16,0.1,64,16,sigmoid,tanh,1.8302810886115438e-05,0.0042781784542157,0.003846861794807484
51,50,16,0.001,32,64,tanh,relu,1.8344064558727117e-05,0.00428299714671013,0.0034923913745543906
605,50,64,0.01,32,32,relu,tanh,1.8348774523983257e-05,0.004283546955968063,0.0035364549619925174
442,50,32,0.1,32,32,relu,sigmoid,1.8369598265440196e-05,0.0042859769324437805,0.003531901454313272
1284,100,64,0.001,64,32,tanh,relu,1.83759965398179e-05,0.004286723287059465,0.003709206936047979
11,50,16,0.001,16,32,relu,tanh,1.8418898257144632e-05,0.004291724392029925,0.0035996880745023554
1431,100,64,0.1,64,16,relu,relu,1.8437614804541766e-05,0.004293904377666294,0.003396621994220576
578,50,64,0.01,16,32,relu,tanh,1.8475313954333443e-05,0.004298291981047058,0.0035906115937877504
533,50,64,0.001,32,64,relu,tanh,1.848025347390372e-05,0.004298866533622988,0.003639333348131838
1270,100,64,0.001,64,16,relu,sigmoid,1.8515447794733946e-05,0.004302958028465296,0.0035895441246145215
277,50,32,0.001,32,16,tanh,sigmoid,1.8537081023430145e-05,0.004305471057088893,0.0035486505160946826
